index,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,comments,reconstructed_verse
36,1895697,BW>[,1Qisaa,Isaiah,2,21,BW>,L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY,0 000 0 00000 1 11111 1 1 0000 0 00000 0 000 000 0000 0 0 000 00000 0 0000 0 0000 0 000,qal,infc,L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW,,B NQRWT H YWRJM W B S<PJ H SL<JM,B NQRH/ H YWR/ W B S<JP/ H SL</,in the caverns of the rocks and in the clefts of the cliffs,0.0,prep,place,inanim,det,subs,complex,factive,goal,B,B,,,,L BW> B NQRWT [H YWRJM W B] S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY
44,213114,BW>[,MT,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TM B<RTM H KRM GZLT H <NJ B BTJKM,,qal,impf,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,B MCPV,B MCPV/,in a judgment,0.0,prep,abs,inanim,und,subs,simple,fictive,goal,B,,,,,
46,1895945,BW>[,1Qisaa,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TMH B<RTM H KRM GZLT H <NJ B BTJKM,0000 0 0000 0000 00 0000 000 0 0000 0 0000 00000 0 000 0000 0 000 0 00000,qal,impf,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,B MCPV,B MCPV/,in a judgment,0.0,prep,abs,inanim,und,subs,simple,fictive,goal,B,,,,,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TMH B<RTM H KRM GZLT H <NJ B BTJKM
86,214081,<WP[,MT,Isaiah,6,6,J<P,W J<P >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZBX,,qal,wayq,W J<P >LJ >XD MN H FRPJM,>XD MN H FRPJM,>LJ,>L,to me,0.0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,
87,1896924,<WP[,1Qisaa,Isaiah,6,6,J<WP,W J<WP >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZBX,0 0000 000 000 00 0 00000 0 0 000 0000 0 000000 000 0 00 0 0010,qal,wayy,W J<WP >LJ >XD MN H FRPJM,>XD MN H FRPJM,>LJ,>L,to me,0.0,prep,prps,anim,det,prsf,simple,factive,goal,>L,,,,,W J<WP >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZ[B]X
98,214256,<LH[,MT,Isaiah,7,1,<LH,W JHJ B JMJ >XZ BN JWTM BN <ZJHW MLK JHWDH <LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L MLXMH <LJH W L> JKL L HLXM <LJH,,qal,perf,<LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L MLXMH <LJH,RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L,JRWCLM,JRWCLM/,to Jerusalem,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,
99,1897102,<LH[,1Qisaa,Isaiah,7,1,<LH,W JHJ B JMJ >XZ BN JWTM BN <WZJH MLK JHWDH <LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH W LW> JKLW L HLXM <LJH,0 000 0 000 000 00 0000 00 00000 000 00000 000 0000 000 000 0 000 00 000000 000 00000 000000 0 00000 0000 0 000 0000 0 0000 0000,qal,perf,<LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH,RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L,JRWCLM,JRWCLM/,to Jerusalem,0.0,vc,topo,inanim,det,nmpr,simple,factive,goal,,,,,,W JHJ B JMJ >XZ BN JWTM BN <WZJH MLK JHWDH <LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH W LW> JKLW L HLXM <LJH
102,214368,<LH[,MT,Isaiah,7,6,N<LH,N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L,,qal,impf,N<LH B JHWDH,,B JHWDH,B JHWDH/,against/to Judah,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,
103,1897221,<LH[,1Qisaa,Isaiah,7,6,N<LH,N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L,0000 0 00000 0 000000 0 000000 00000 0 00000 000 0 0000 00 00 0000,qal,impf,N<LH B JHWDH,,B JHWDH,B JHWDH/,against/to Judah,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L
104,214531,BW>[,MT,Isaiah,7,17,JBJ>,JBJ> JHWH <LJK W <L <MK W <L BJT >BJK JMJM >CR L> B>W L M JWM SWR >PRJM M <L JHWDH >T MLK >CWR,,hif,impf,JBJ> JHWH <LJK W <L <MK W <L BJT >BJK JMJM >T MLK >CWR,JHWH,<LJK W <L <MK W <L BJT >BJK,<L W <L <M/ W <L BJT/ >B/,upon you and upon your people and upon the house of your father,0.0,prep,prps,anim,det,prsf,complex,fictive,goal,<L,<L,<L,,,
107,1897394,BW>[,1Qisaa,Isaiah,7,17,JBJ>,W JBJ> JHWH <LJK W <L <MK W <L BJT >BJK JMJM >CR LW> B>W L M JWM SWR >PRJM M <L JHWDH >T MLK >CWR,0 0000 0000 0000 0 00 000 0 00 000 0000 0000 000 000 000 0 0 000 000 00000 0 00 00000 00 000 0000,hifil,impf,W JBJ> JHWH <LJK W <L <MK W <L BJT >BJK JMJM >T MLK >CWR,JHWH,<LJK W <L <MK W <L BJT >BJK,<L W <L <M/ W <L BJT/ >B/,upon you and upon your people and upon the house of your father,0.0,prep,prps,anim,det,prsf,complex,fictive,goal,<L,<L,<L,,,W JBJ> JHWH <LJK W <L <MK W <L BJT >BJK JMJM >CR LW> B>W L M JWM SWR >PRJM M <L JHWDH >T MLK >CWR
114,214702,BW>[,MT,Isaiah,7,24,JBW>,B XYJM W B QCT JBW> CMH KJ CMJR W CJT THJH KL H >RY,,qal,impf,B XYJM W B QCT JBW> CMH,,CMH,CM,there,1.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,
115,1897562,BW>[,1Qisaa,Isaiah,7,24,JBW>,B XYJM W B QCTWT JBW> CMH KJ> CMJR W CJT THJH KWL H >RY,0 0000 0 0 00000 0000 000 000 0000 0 000 0000 000 0 000,qal,impf,B XYJM W B QCTWT JBW> CMH,,CMH,CM,there,1.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,B XYJM W B QCTWT JBW> CMH KJ> CMJR W CJT THJH KWL H >RY
116,1919017,BW>[,1Q8,Isaiah,7,24,JBW>,B XYJM W B QCT JBW> CMH KJ CMJR W CJT THJH KL H >RY,1 1111 0 0 000 0000 000 00 1111 1 111 1111 11 1 111,qal,impf,B XYJM W B QCT JBW> CMH,,CMH,CM,there,1.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,[B XYJM] W B QCT JBW> CMH KJ [CMJR W CJT THJH KL H >RY]
117,214722,BW>[,MT,Isaiah,7,25,TBW>,W KL H HRJM >CR B M<DR J<DRWN L> TBW> CMH JR>T CMJR W CJT W HJH L MCLX CWR W L MRMS FH,,qal,impf,L> TBW> CMH JR>T CMJR W CJT,,CMH,CM,there,1.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,
118,1897582,BW>[,1Qisaa,Isaiah,7,25,TBW>,W KWL H HRJM >CR B M<DR J<DRWN LW> TBW> CMH JR>T BRZL CMJR W CJT TJHJH L MCLX CWR W L MRMS FH,0 000 0 0000 000 0 0000 000000 000 0000 000 0000 0000 0000 0 000 00000 0 0000 000 0 0 0000 00,qal,impf,LW> TBW> CMH JR>T BRZL CMJR W CJT,BRZL written above in the manuscript,CMH,CM,there,1.0,dir-he,adv,inanim,det,adv,simple,factive,goal,,,,,,W KWL H HRJM >CR B M<DR J<DRWN LW> TBW> CMH JR>T BRZL CMJR W CJT TJHJH L MCLX CWR W L MRMS FH
120,214768,QRB[,MT,Isaiah,8,3,>QRB,W >QRB >L H NBJ>H W THR W TLD BN W J>MR JHWH >LJ QR> CMW MHR CLL XC BZ,,qal,wayq,W >QRB >L H NBJ>H,,>L H NBJ>H,>L H NBJ>H/,to the prophetess,0.0,prep,pers,anim,det,subs,simple,factive,goal,>L,,,,,
121,1897634,QRB[,1Qisaa,Isaiah,8,3,>QRB,W >QRB >L H NBJ> W THR W TLD BN W J>WMR JHWH >LJ QR> CMW MHR CLL XC BZ,0 0000 00 0 0000 0 000 0 000 00 0 00000 0000 000 000 000 000 000 00 00,qal,wayy,W >QRB >L H NBJ>,,>L H NBJ>,>L H NBJ>,to the prophet,0.0,prep,place,inanim,det,subs,simple,factive,goal,>L,,,,,W >QRB >L H NBJ> W THR W TLD BN W J>WMR JHWH >LJ QR> CMW MHR CLL XC BZ
124,214840,<LH[,MT,Isaiah,8,7,M<LH,W LKN HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW W <LH <L KL >PJQJW W HLK <L KL GDWTJW,,hif,ptca,HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW,>DNJ,<LJHM,<L,upon / on them,0.0,prep,prps,anim,det,prsf,simple,factive,goal,<L,,,,,
127,1897717,<LH[,1Qisaa,Isaiah,8,7,M<LH,W L KN HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H H <YWMJM W H RBJM >T MLK >CWR W >T KWL KBWDW W <LH <L KWL >PJQJW W HLK <L KWL GDWWTJW,0 0 00 000 00000 0000 0000 00000 00 00 0 000 0 1 111111 1 1 1111 11 100 0000 0 00 000 00000 0 000 11 111 111111 1 111 11 111 0000000,hifil,ptca,HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H H <YWMJM W H RBJM >T MLK >CWR W >T KWL KBWDW,>DWNJ JHWH,<LJHM,<L,upon / on them,0.0,prep,prps,anim,det,prsf,simple,factive,goal,<L,,,,,W L KN HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H [H <YWMJM W H RBJM >T M]LK >CWR W >T KWL KBWDW W <LH [<L KWL >PJQJW W HLK <L KWL] GDWWTJW
130,214869,XLP[,MT,Isaiah,8,8,XLP,W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW ML> RXB >RYK <MNW >L,,qal,perf,W XLP B JHWDH,,B JHWDH,B JHWDH/,against/to Judah,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,
133,1897748,XLP[,1Qisaa,Isaiah,8,8,XLP,W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW MLW> RXB >RYK <MNW >L,0 000 0 00000 000 0 000 00 0000 0000 0 000 0000 00000 0000 000 0000 0000 00,qal,perf,W XLP B JHWDH,,B JHWDH,B JHWDH/,against/to Judah,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,B,,,,,W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW MLW> RXB >RYK <MNW >L
140,215093,<BR[,MT,Isaiah,8,21,<BR,W <BR BH NQCH W R<B W HJH KJ JR<B W HTQYP W QLL B MLKW W B >LHJW W PNH L M<LH,,qal,perf,W <BR BH,,BH,B,in it / in her,0.0,prep,prps,inanim,det,prsf,simple,factive,trajectory,B,,,,,
142,1897981,<BR[,1Qisaa,Isaiah,8,21,<BR,W <BR BH W NQCH W R<B W HJH KJ> JR<B JTQYP W QLL B MLKW W B >LWHW W PNH L M<LH,0 000 00 0 0000 0 000 0 000 000 0000 00000 0 000 0 0000 0 0 00000 0 000 0 0000,qal,perf,W <BR BH,,BH,B,in it / in her,0.0,prep,prps,inanim,det,prsf,simple,factive,trajectory,B,,,,,W <BR BH W NQCH W R<B W HJH KJ> JR<B JTQYP W QLL B MLKW W B >LWHW W PNH L M<LH
166,215567,NWS[,MT,Isaiah,10,3,TNWSW,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,,qal,impf,<L MJ TNWSW L <ZRH,,<L MJ,<L MJ,to whom,0.0,prep,ppin,anim,und,ppin,simple,factive,goal,<L,,,,,
167,1898485,NWS[,1Qisaa,Isaiah,10,3,TNWSW,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,0 00 0000 0 000 00000 0 0 000 0 0000 0000 00 00 00000 0 0000 0 000 000000 000000,qal,impf,<L MJ TNWSW L <ZRH,,<L MJ,<L MJ,to whom,0.0,prep,ppin,anim,und,ppin,simple,factive,goal,<L,,,,,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM
176,215894,CWB[,MT,Isaiah,10,21,JCWB,C>R JCWB C>R J<QB >L >L GBWR,,qal,impf,C>R JCWB C>R J<QB >L >L GBWR,C>R C>R J<QB,>L >L GBWR,>L >L/ GBWR/,to the mighty god,0.0,prep,pers,anim,und,subs,complex,fictive,goal,>L,,,,,
177,1898827,CWB[,1Qisaa,Isaiah,10,21,JCWB,C>R JCWB C>R J<QWB >L >L GBWR,000 0000 000 00000 00 00 0000,qal,impf,C>R JCWB C>R J<QWB >L >L GBWR,C>R JCWB C>R J<QWB,>L >L GBWR,>L >L/ GBWR/,to the mighty god,0.0,prep,pers,anim,und,subs,complex,fictive,goal,>L,,,,,C>R JCWB C>R J<QWB >L >L GBWR
178,215910,CWB[,MT,Isaiah,10,22,JCWB,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,,qal,impf,KJ C>R JCWB BW,C>R,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,
180,1898844,CWB[,1Qisaa,Isaiah,10,22,JCWB,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,000 00 0000 000 00000 0 000 0 00 000 0000 00 00000 0000 0000 0000,qal,impf,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW,C>R,BW,B,in/on it/him,0.0,prep,prps,inanim,det,prsf,simple,fictive,goal,B,,,,,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH
184,216009,BW>[,MT,Isaiah,10,28,B>,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,,qal,perf,B> <L <JT,,<L <JT,<L <JT/,to Aiath,0.0,prep,topo,inanim,det,nmpr,simple,factive,goal,<L,,,,,
185,216012,<BR[,MT,Isaiah,10,28,<BR,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,,qal,perf,<BR B MGRWN,,B MGRWN,B MGRWN/,through Migron,0.0,prep,topo,inanim,det,nmpr,simple,factive,trajectory,B,,,,,
186,1898948,BW>[,1Qisaa,Isaiah,10,28,B>,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,00 00 0000 000 0 00000 0 0000 00000 0000,qal,perf,B> <L <JTH,,<L <JTH,<L <JT/,to Aiath,1.0,prep + dir-he,topo,inanim,det,nmpr,simple,factive,goal,<L,,,,,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW
187,1898951,<BR[,1Qisaa,Isaiah,10,28,<BR,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,00 00 0000 000 0 00000 0 0000 00000 0000,qal,perf,<BR B MGRWN,,B MGRWN,B MGRWN/,through Migron,0.0,prep,topo,inanim,det,nmpr,simple,factive,trajectory,B,,,,,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW
188,216019,<BR[,MT,Isaiah,10,29,<BRW,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,,qal,perf,<BRW M<BRH,,M<BRH,M<BRH/,(in) a pass,0.0,vc,topo,inanim,und,subs,simple,factive,trajectory,,,,,,
190,1898959,<BR[,1Qisaa,Isaiah,10,29,<BR,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,000 0 00000 000 0000 000 0000 0 000 0000 0000 000,qal,perf,<BR B M<BRH,,B M<BRH,B M<BRH/,in a pass,0.0,prep,topo,inanim,und,subs,simple,factive,trajectory,B,,,,,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH
204,216516,BW>[,MT,Isaiah,13,2,JB>W,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD W JB>W PTXJ NDJBJM,,qal,impf,W JB>W PTXJ NDJBJM,,PTXJ NDJBJM,PTX/ NDJB/,the doors of the nobles,0.0,vc,obj,inanim,det,subs,complex,factive,trajectory,,,,,,
205,1899480,BW>[,1Qisaa,Isaiah,13,2,JBW>,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD JBW> PTXJ NDJBJM,00 00 0000 000 00 00000 000 000 00000 00 0000 0000 000000,qal,impf,JBW> PTXJ NDJBJM,,PTXJ NDJBJM,PTX/ NDJB/,the doors of the nobles,0.0,vc,obj,inanim,det,subs,complex,factive,trajectory,,,,,,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD JBW> PTXJ NDJBJM
229,216857,BW>[,MT,Isaiah,14,2,HBJ>WM,W LQXWM <MJM W HBJ>WM >L MQWMM W HTNXLWM BJT JFR>L <L >DMT JHWH L <BDJM W L CPXWT W HJW CBJM L CBJHM W RDW B NGFJHM,,hif,perf,W HBJ>WM >L MQWMM,,>L MQWMM,>L MQWM/,to their place,0.0,prep,place,inanim,det,subs,complex,factive,goal,>L,,,,,
230,1899844,BW>[,1Qisaa,Isaiah,14,2,HBJ>WM,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM,0 00000 0000 0000 0 000000 00 00000 0 00 00000 0 0000000 000 00000 00 0000 0000 0 00000 0 0 00000 0 000 00000 0 000000 0 0000 0 0000000,hifil,perf,W HBJ>WM >L >DMTM W >L MQWMM,,>L >DMTM W >L MQWMM,>L >DMH/ W >L MQWM/,to their land and to their place,0.0,prep,topo,inanim,det,subs,complex,factive,goal,>L,>L,,,,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM
235,216956,<LH[,MT,Isaiah,14,8,J<LH,GM BRWCJM FMXW LK >RZJ LBNWN M >Z CKBT L> J<LH H KRT <LJNW,,qal,impf,L> J<LH H KRT <LJNW,H KRT,<LJNW,<L,to us,0.0,prep,prps,anim,det,prsf,simple,factive,goal,<L,,,,,
236,1899954,<LH[,1Qisaa,Isaiah,14,8,J<LH,GM BRWCJM FMXW LK >RZJ H LBNWN M >Z CKBTH W LW> J<LH H KWRT <LJNW,00 000000 0000 00 0000 0 00000 0 00 00000 0 000 0000 0 0000 00000,qal,impf,LW> J<LH H KWRT <LJNW,H KWRT,<LJNW,<L,to us,0.0,prep,prps,anim,det,prsf,simple,factive,goal,<L,,,,,GM BRWCJM FMXW LK >RZJ H LBNWN M >Z CKBTH W LW> J<LH H KWRT <LJNW
239,216991,JRD[,MT,Isaiah,14,11,HWRD,HWRD C>WL G>WNK HMJT NBLJK TXTJK JY< RMH W MKSJK TWL<H,,hof,perf,HWRD C>WL G>WNK HMJT NBLJK,G>WNK HMJT NBLJK,C>WL,C>WL/,to Sheol,0.0,vc,place,inanim,det,subs,simple,fictive,goal,,,,,,
240,1899992,JRD[,1Qisaa,Isaiah,14,11,HWRD,HWRD C>WL G>WNK H MWT NBLTK TXTJK JY< RMH W MKSK TWL<H,0100 0000 00000 0 000 00000 00000 000 000 0 0000 00000,hofal,perf,HWRD C>WL G>WNK H MWT NBLTK,G>WNK H MWT NBLTK,C>WL,C>WL/,to Sheol,0.0,vc,place,inanim,det,subs,simple,fictive,goal,,,,,,H[W]RD C>WL G>WNK H MWT NBLTK TXTJK JY< RMH W MKSK TWL<H
