verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,spatial_arg_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,comments,reconstructed_verse,study_edition,book_scroll,cmpl_syntax
13269,HLK[,1QM,1QM,5,51,JLKW,W KWL PSX >W <WR >W XGR >W >JC >CR MWM <WLM B BFR W >W >JC MNWG< B VM>T BFR W KWL >LH LW> JLKW >T M L MLXMH,NA,qal,impf,KWL >LH LW> JLKW >T M L MLXMH,KWL >LH,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 7 5,1QM_1QM,prepositional
13356,JY>[,1QM,1QM,6,1,JY>W,W B SDR M<RKWT H MLXMH L QR>T >WJB M<RKH L QR>T M<RKH W JY>W MN H C<R H TJKWN >L BJN H M<RKWT CB<H KWHNJM M BNJ >HRWN LWBCJM BGDJ CC LBN KTWNT BD W MKNSJ BD W XWGRJM B >BNV BD CC MCWZR TKLT W >RGMN W TWL<T CNJ W YWRT RJQMH M<FH XWCB W PRJ MGB<WT B R>CJ HM BGDJ MLXMH W >L H MQDC LW> JBJ>W M,NA,qal,impf,W JY>W MN H C<R H TJKWN >L BJN H M<RKWT CB<H KWHNJM M BNJ >HRWN,CB<H KWHNJM M BNJ >HRWN,>L BJN H M<RKWT,>L BJN H M<RKH,(to) between the lines,0,prep,place,inanim,det,subs,complex,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 7 8-9,1QM_1QM,prepositional
13411,BW>[,1QM,1QM,6,1,JBJ>W,W B SDR M<RKWT H MLXMH L QR>T >WJB M<RKH L QR>T M<RKH W JY>W MN H C<R H TJKWN >L BJN H M<RKWT CB<H KWHNJM M BNJ >HRWN LWBCJM BGDJ CC LBN KTWNT BD W MKNSJ BD W XWGRJM B >BNV BD CC MCWZR TKLT W >RGMN W TWL<T CNJ W YWRT RJQMH M<FH XWCB W PRJ MGB<WT B R>CJ HM BGDJ MLXMH W >L H MQDC LW> JBJ>W M,NA,hif,impf,W >L H MQDC LW> JBJ>W M,NA,>L H MQDC,>L H MQDC,to the sanctuary,0,prep,place,inanim,det,subs,simple,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 7 11-12,1QM_1QM,prepositional
13459,JY>[,1QM,1QM,6,4,Y>T,W B Y>T H KWHNJM >L BJN H M<RKWT JY>W <M HMH CB<H LWJJM W B JD M CB<T CWPRWT H JWBL,NA,qal,infc,B Y>T H KWHNJM >L BJN H M<RKWT,H KWHNJM,>L BJN H M<RKWT,>L BJN H M<RKH,(to) between the lines,0,prep,place,inanim,det,subs,complex,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 7 13-14,1QM_1QM,prepositional
13570,BW>[,1QM,1QM,6,11,B>W,W >XR JTQ<W L HM H KWHNJM B XYWYRWT H MCWB W B>W L JD H M<RKH H R>JCWNH L HTJYB <L M<MD M,NA,qal,perf,W B>W L JD H M<RKH H R>JCWNH,NA,L JD H M<RKH H R>JCWNH,L JD H M<RKH H R>CWN,to the flank of the first line,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 8 2-3,1QM_1QM,prepositional
13862,JY>[,1QM,1QM,6,27,JY>W,W H KWHNJM MRJ<JM L NYX MLXMH W B HNGP M L PNJ HM JTQ<W H KWHNJM B XYWYRWT H MQR> W JY>W >LJ HM KWL >NCJ H BJNJM M TWK M<RKWT H PNJM,NA,qal,perf,W JY>W >LJ HM KWL >NCJ H BJNJM M TWK M<RKWT H PNJM,KWL >NCJ H BJNJM,>LJ HM,>L HM,toward them,0,prep,group,anim,det,prsf,simple,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 9 4-5,1QM_1QM,prepositional
13952,BW>[,1QM,1QM,6,32,JBW>W,W B NPWL H XLLJM JHJW H KWHNJM MRJ<JM M RXWQ W LW> JBW>W >L TWK H XLLJM L HTG>L B DM VM>T M KJ> QDWCJM HMH,NA,qal,impf,W LW> JBW>W >L TWK H XLLJM,NA,>L TWK H XLLJM,>L TWK H XLL=,to the midst of the lines,0,prep,place,inanim,det,subs,complex,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 9 7-8,1QM_1QM,prepositional
14043,SBB[,1QM,1QM,6,38,JSBW,K JSBW H MGDL L CLWCT RWXWT H PNJM MGNJM CLWC M>WT,NA,qal,impf,JSBW H MGDL L CLWCT RWXWT H PNJM MGNJM CLWC M>WT,NA,L CLWCT RWXWT H PNJM,L CLC RWX== H PNH,to/on its three forward faces,0,prep,place,inanim,det,subs,complex,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 9 13-14,1QM_1QM,prepositional
14141,QRB[,1QM,1QM,7,3,QRB,W JLMD NW M >Z L DWRWTJ NW L >MWR B QRB KM L MLXMH W <MD H KWHN W DBR >L H <M L >MWR CM<H JFR>L >TMH QRBJM H JWM L MLXMH <L >WJBJ KMH,NA,qal,infc,B QRB KM L MLXMH,KM,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 10 2,1QM_1QM,prepositional
14241,BW>[,1QM,1QM,7,7,TBW>,W >CR DBRTH B JD MWCH L >MWR KJ> TBW> MLXMH B >RY KMH <L H YR H YWRR >T KMH WHRJ<WT B XYWYRWT W NZKRTMH L PNJ >LWHJ KM W NWC<TM M >WJBJ KM,NA,qal,impf,KJ> TBW> MLXMH B >RY KMH <L H YR,MLXMH,B >RY KMH,B >RY KM,in your land,0,prep,place,inanim,det,subs,complex,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 10 6-7,1QM_1QM,prepositional
14696,CWB[,1QM,1QM,7,28,HCJB,KJ> B JD >BJWNJM TSGJR >WJBJ KWL H >RYWT W B JD KWR<J <PR L HCPJL GBWRJ <MJM L HCJB GMWL RC<JM B R>C >C W L HYDJQ MCPV >MT KH B KWL BNJ >JC W L <FWT L KH CM <WLM B <M H MLXMWT W L HTGDL W L HTQDC L <JNJ C>R H GWJM,NA,hif,infc,L HCJB GMWL RC<JM B R>C >C,NA,B R>C >C,B R>C =,on their guilty head,0,prep,body part,inanim,det,subs,complex,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 11 13-14,1QM_1QM,prepositional
15404,BW>[,1QM,1QM,9,1,BW>,W >XR H<LWT M M <L H XLLJM L BW> H MXNH JRNNW KWL M >T THLT H MCWB,NA,qal,infc,L BW> H MXNH,NA,H MXNH,H MXNH,to the encampment,0,vc,place,inanim,det,subs,simple,factive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 14 2,1QM_1QM,non-prepositional
15429,CWB[,1QM,1QM,9,3,CBW,W CBW >L MQWM <WMD M >CR SDRW CM H M<RKH L PNJ NPWL XLLJ H >WJB,NA,qal,perf,W CBW >L MQWM,NA,>L MQWM,>L MQWM,to a place,0,prep,place,inanim,und,subs,simple,factive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 14 3,1QM_1QM,prepositional
15630,CWB[,1QM,1QM,9,18,TCJB,W L NKBDJ HM TCJB L BWZ,NA,hif,impf,W L NKBDJ HM TCJB L BWZ,NA,L NKBDJ HM,L KBD HM,to their notables,0,prep,group,anim,det,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 14 11-12,1QM_1QM,prepositional
15860,CWB[,1QM,1QM,10,10,TCWBW,W >L TXPZW W >L T<RWYW M PNJ HM W >L TCWBW >XWR W >L M,NA,qal,impf,W >L TCWBW >XWR,NA,>XWR,>XWR,backwards,0,vc,direction,inanim,und,adv,simple,factive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 15 8-9,1QM_1QM,non-prepositional
16161,JY>[,1QM,1QM,11,1,Y>T,W B HT>ZR L <ZRT BNJ XWCK W XLLJ H BJNJM JXLW L NPWL B RZJ >L W L BXWN B M KWL XRWYJ H MLXMH W H KWHNJM JTQ<W B XYWYRWT H MQR> L Y>T M<RKH >XRT XLJPH L MLXMH W <MDW BJN H M<RKWT,NA,qal,infc,L Y>T M<RKH >XRT XLJPH L MLXMH,NA,L MLXMH,L H MLXMH,to the battle,0,prep,occupation,inanim,det,subs,simple,factive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 16 12,1QM_1QM,prepositional
16915,BW>[,1QM,1QM,12,29,JBW>W,W B BWQR JBW>W <D MQWM H M<RKH GBWRJ KTJJM W HMWN >CWR W XJL KWL H GWJM H NQHLJM >M XLLJM NPLW CM B XRB >L,NA,qal,impf,JBW>W <D MQWM H M<RKH GBWRJ KTJJM W HMWN >CWR W XJL KWL H GWJM,GBWRJ KTJJM W HMWN >CWR W XJL KWL H GWJM,<D MQWM H M<RKH,<D MQWM H M<RKH,to the place of the battle,0,prep,place,inanim,det,subs,complex,factive,goal,<D,NA,NA,NA,NA,NA,NA,NA,col 19 9-10,1QM_1QM,prepositional
16940,NGC[,1QM,1QM,12,30,NGC,W NGC CM KWHN H RW>C HW MLXMH W KWL R>CJ H M<RKWT W PQWD HM <L XLLJ KTJJM,NA,nif,perf,W NGC CM KWHN H RW>C,KWHN H RW>C,CM,CM=,there,0,vc,place,inanim,det,adv,simple,factive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 19 11,1QM_1QM,non-prepositional
17125,BW>[,1QS,1QS,1,10,JBJ>W,W KWL H NDBJM L >MT W JBJ>W KWL D<T M W KWX M W HWN M B JXD >L L BRR D<T M B >MT XWQJ >L W KWX M L TKN K TM DRKJ W W KWL HWN M K <YT YDQ W,NA,hif,impf,W KWL JBJ>W KWL D<T M W KWX M W HWN M B JXD >L,KWL,B JXD >L,B JXD >L==,in the community of God,0,prep,group,inanim,det,subs,complex,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 1 11-12,1QS_1QS,prepositional
17200,HLK[,1QS,1QS,1,12,LKT,W LW> L SWR M XWQJ >MT W L LKT JMJN W FM>WL,NA,qal,infc,L LKT JMJN W FM>WL,NA,JMJN W FM>WL,JMJN W FM>L,to the right or to the left,0,vc,direction,inanim,det,subs,complex,fictive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 1 15,1QS_1QS,non-prepositional
17212,<BR[,1QS,1QS,2,1,J<BWRW,W KWL H B>JM B SRK H JXD J<BWRW B BRJT L PNJ >L L <FWT K KWL >CR YWH W LW> L CWB M >XR W M KWL PXD W >JMH W MYRP NHJJM B MMCLT BLJ<L,NA,qal,impf,W KWL J<BWRW B BRJT L PNJ >L,KWL,B BRJT,B H BRJT,in the covenant,0,prep,abstract,inanim,det,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 1 16,1QS_1QS,prepositional
17245,<BR[,1QS,1QS,2,2,<WBR,W B <WBR M B BRJT JHJW H KWHNJM W H LWJJM MBRKJM >T >L JCW<WT W >T KWL M<FJ >MT W,NA,qal,infc,B <WBR M B BRJT,M,B BRJT,B H BRJT,in the covenant,0,prep,abstract,inanim,det,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 1 18,1QS_1QS,prepositional
17829,BW>[,1QS,1QS,2,31,JBJ>W,W D<T W W KWX W W HWN W LW> JBJ>W B <YT JXD,NA,hif,impf,W D<T W W KWX W W HWN W LW> JBJ>W B <YT JXD,NA,B <YT JXD,B <YH JXD,the council of the community,0,prep,group,anim,det,subs,complex,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 3 2,1QS_1QS,prepositional
18668,JY>[,1QS,1QS,3,30,TY>,W >Z TY> L NYX >MT TBL KJ> HTGWLLH B DRKJ RC< B MMCLT <WLH <D MW<D MCPV NXRYH,NA,qal,impf,W >Z TY> L NYX >MT TBL,>MT,TBL,TBL,out there,0,vc,place,inanim,und,subs,simple,fictive,goal,NA,NA,NA,NA,NA,NA,NA,NA,col 4 19,1QS_1QS,non-prepositional
19074,BW>[,1QS,1QS,4,5,JBW>,KWL H B> L <YT H JXD JBW> B BRJT >L L <JNJ KWL H MTNDBJM,NA,qal,impf,KWL JBW> B BRJT >L L <JNJ KWL H MTNDBJM,KWL,B BRJT >L,B BRJT >L==,in the covenant of god,0,prep,abstract,inanim,det,subs,complex,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 5 7-8,1QS_1QS,prepositional
19092,CWB[,1QS,1QS,4,6,CWB,W JQM <L NPC W B CBW<T >SR L CWB >L TWRT MWCH K KWL >CR YWH B KWL LB W B KWL NPC L KWL H NGLH MMN H L BNJ YDWQ H KWHNJM CWMRJ H BRJT W DWRCJ RYWN W W L RWB >NCJ BRJT M H MTNDBJM JXD L >MT W W L HTLK B RYWN W,NA,qal,infc,L CWB >L TWRT MWCH K KWL,NA,>L TWRT MWCH,>L TWRH MCH,to the law/torah of Moses,0,prep,abstract,inanim,det,subs,complex,fictive,goal,>L,NA,NA,NA,NA,NA,NA,NA,col 5 8,1QS_1QS,prepositional
19224,BW>[,1QS,1QS,4,10,JBW>,>L JBW> B MJM L G<T B VHRT >NCJ H QWDC,NA,qal,impf,>L JBW> B MJM,NA,B MJM,B H MJM,through/in water,0,prep,phenomenon,inanim,det,subs,simple,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 5 13,1QS_1QS,prepositional
19405,BW>[,1QS,1QS,4,18,JBW>,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,NA,qal,impf,W KJ> JBW> B BRJT,NA,B BRJT,B H BRJT,in the covenant,0,prep,abstract,inanim,det,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 5 20,1QS_1QS,prepositional
19478,CWB[,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,NA,qal,infc,L CWB B JXD L BRJT W,NA,B JXD,B H JXD,in the community / a communion,0,prep,group,anim,det,subs,simple,factive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 5 22,1QS_1QS,prepositional
19478,CWB[,1QS,1QS,4,18,CWB,W KJ> JBW> B BRJT L <FWT K KWL H XWQJM H >LH L HWXD L <DT QWDC W DRCW >T RWX WM B JXD BJN >JC L R< HW L PJ FKL W W M<FJ W B TWRH <L PJ BNJ >HRWN H MTNDBJM B JXD L HQJM >T BRJT W W L PQWD >T KWL XWQJ W >CR YWH L <FWT W <L PJ RB JFR>L H MTNDBJM L CWB B JXD L BRJT W,NA,qal,infc,L CWB B JXD L BRJT W,NA,L BRJT W,L BRJT W=,to his covenant,0,prep,abstract,inanim,det,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 5 22,1QS_1QS,prepositional
19844,CWB[,1QS,1QS,4,36,HCJB,W KN JC>LW L MCPV W L KWL <YH W DBR >CR JHJH L RBJM L HCJB >JC >T MD< W L <YT H JXD,NA,hif,infc,L HCJB >JC >T MD< W L <YT H JXD,>JC,L <YT H JXD,L <YH H JXD,to the counsel of the community,0,prep,group,anim,det,subs,complex,fictive,goal,L,NA,NA,NA,NA,NA,NA,NA,col 6 9-10,1QS_1QS,prepositional
19994,BW>[,1QS,1QS,4,43,JBJ>,W >M JFJG MWSR JBJ> HW B BRJT L CWB L >MT W L SWR M KWL <WL W HBJN HW B KWL MCPVJ H JXD,NA,qal,impf,JBJ> HW B BRJT,NA,B BRJT,B H BRJT,in the covenant,0,prep,abstract,inanim,det,subs,simple,fictive,goal,B,NA,NA,NA,NA,NA,NA,NA,col 6 14-15,1QS_1QS,prepositional
