,verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4
22,215738,SWR[,MT,Isaiah,10,13,>SJR,KJ >MR B KX JDJ <FJTJ W B XKMTJ KJ NBNWTJ W >SJR GBWLT <MJM W <TJDTJHM CWFTJ W >WRJD K>BJR JWCBJM,W >SJR GBWLT <MJM,,,,,,hif,impf,,,,
23,215745,JRD[,MT,Isaiah,10,13,>WRJD,KJ >MR B KX JDJ <FJTJ W B XKMTJ KJ NBNWTJ W >SJR GBWLT <MJM W <TJDTJHM CWFTJ W >WRJD K>BJR JWCBJM,W >WRJD K>BJR JWCBJM,,,,,,hif,impf,,,,
24,1898665,SWR[,1Qisaa,Isaiah,10,13,>SJR,KJ JW>MR B KWX JDJ <FJTJ W B XKMTJ KJ NBWNWTJ W >SJR GBLWT <MJM W <TJDWTJHMH CWCJTJ W >WRJD JWCBJM,,,,,0,unc or missing,hifil,impf,,,,
25,1898672,JRD[,1Qisaa,Isaiah,10,13,>WRJD,KJ JW>MR B KWX JDJ <FJTJ W B XKMTJ KJ NBWNWTJ W >SJR GBLWT <MJM W <TJDWTJHMH CWCJTJ W >WRJD JWCBJM,,,,,0,unc or missing,hifil,impf,,,,
26,215894,CWB[,MT,Isaiah,10,21,JCWB,C>R JCWB C>R J<QB >L >L GBWR,C>R JCWB C>R J<QB >L >L GBWR,C>R C>R J<QB,>L >L GBWR,0,,,qal,impf,>L,,,
27,1898827,CWB[,1Qisaa,Isaiah,10,21,JCWB,C>R JCWB C>R J<QWB >L >L GBWR,,,>L >L GBWR,0,0,,qal,impf,>L,,,
28,215910,CWB[,MT,Isaiah,10,22,JCWB,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,KJ C>R JCWB BW,C>R,BW,0,,,qal,impf,BW,,,
29,215914,CVP[,MT,Isaiah,10,22,CWVP,KJ >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,CWVP YDQH,,,,,,qal,ptca,,,,
30,1898844,CWB[,1Qisaa,Isaiah,10,22,JCWB,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,,,BW,0,0,,qal,impf,BW,,,
31,1898848,CVP[,1Qisaa,Isaiah,10,22,CWVP,KJ> >M JHJH <MK JFR>L K XWL H JM C>R JCWB BW KLJWN XRWY CWVP YDQH,,,,,0,,qal,ptca,,,,
32,215993,SWR[,MT,Isaiah,10,27,JSWR,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <LW M <L YW>RK W XBL <L M PNJ CMN,JSWR SBLW M <L CKMK,SBLW,M <L CKMK,0,,,qal,impf,M,<L,,
33,1898931,SWR[,1Qisaa,Isaiah,10,27,JSWR,W HJH B JWM H HW> JSWR SBLW M <L CKMK W <WLW M <L YW>RK W XBL <WL M PNJ CMN,,,,,0,,qal,impf,,,,
34,216009,BW>[,MT,Isaiah,10,28,B>,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,B> <L <JT,,<L <JT,0,,,qal,perf,<L,,,
35,216012,<BR[,MT,Isaiah,10,28,<BR,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,<BR B MGRWN,,B MGRWN,0,,,qal,perf,B,,,
36,1898948,BW>[,1Qisaa,Isaiah,10,28,B>,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,,,<L <JT,0,1,,qal,perf,<L,,,
37,1898951,<BR[,1Qisaa,Isaiah,10,28,<BR,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,,,B MGRWN,0,1,,qal,perf,B,,,
38,216019,<BR[,MT,Isaiah,10,29,<BRW,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,<BRW M<BRH,,M<BRH,0,,,qal,perf,,,,
39,216029,NWS[,MT,Isaiah,10,29,NSH,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,GB<T C>WL NSH,GB<T C>WL,,,,,qal,perf,,,,
40,1898959,<BR[,1Qisaa,Isaiah,10,29,<BR,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,,,,,0,,qal,perf,,,,
41,1898970,NWS[,1Qisaa,Isaiah,10,29,NSH,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,,,,,0,,qal,perf,,,,
42,215564,BW>[,MT,Isaiah,10,3,TBW>,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,M MRXQ TBW>,,M MRXQ,0,,,qal,impf,M,,,
43,215567,NWS[,MT,Isaiah,10,3,TNWSW,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,<L MJ TNWSW L <ZRH,,<L MJ,0,,,qal,impf,<L,,,
44,1898482,BW>[,1Qisaa,Isaiah,10,3,TBW>,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,,,M MRXQ,0,0,,qal,impf,M,,,
45,1898485,NWS[,1Qisaa,Isaiah,10,3,TNWSW,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,,,<L MJ,0,0,,qal,impf,<L,,,
46,216043,<WZ[,MT,Isaiah,10,31,H<JZW,NDDH MDMNH JCBJ H GBJM H<JZW,JCBJ H GBJM H<JZW,JCBJ H GBJM,,,,,hif,perf,,,,
47,1898986,<WZ[,1Qisaa,Isaiah,10,31,H<JZW,NDDH MRMNH JWCBJ H GBJM H<JZW,,,,,0,,hifil,perf,,,,
48,216089,NPL[,MT,Isaiah,10,34,JPWL,W NQP SBKJ H J<R B BRZL W H LBNWN B >DJR JPWL,W H LBNWN B >DJR JPWL,H LBNWN,,,,,qal,impf,,,,
49,1899034,NPL[,1Qisaa,Isaiah,10,34,JPWL,W NQP SBKJ H J<R B BRZL W H LBNWN B >DJR JPWL,,,,,0,,qal,impf,,,,
50,215581,NPL[,MT,Isaiah,10,4,JPLW,BLTJ KR< TXT >SJR W TXT HRWGJM JPLW B KL Z>T L> CB >PW W <WD JDW NVWJH,W TXT HRWGJM JPLW,,TXT HRWGJM,0,,,qal,impf,,,,
51,215586,CWB[,MT,Isaiah,10,4,CB,BLTJ KR< TXT >SJR W TXT HRWGJM JPLW B KL Z>T L> CB >PW W <WD JDW NVWJH,B KL Z>T L> CB >PW,>PW,,,,,qal,perf,,,,
52,1898500,NPL[,1Qisaa,Isaiah,10,4,JPLW,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,,,,,0,,qal,impf,,,,
53,1898506,CWB[,1Qisaa,Isaiah,10,4,CB,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,,,,,0,,qal,perf,,,,
54,216091,JY>[,MT,Isaiah,11,1,JY>,W JY> XVR M GZ< JCJ W NYR M CRCJW JPRH,W JY> XVR M GZ< JCJ,XVR,M GZ< JCJ,0,,,qal,perf,M,,,
55,1899037,JY>[,1Qisaa,Isaiah,11,1,JY>,W JY> XVR M GZ< JCJ W NYR M CWRCJW JPRH,,,M GZ< JCJ,0,0,,qal,perf,M,,,
56,216327,SWR[,MT,Isaiah,11,13,SRH,W SRH QN>T >PRJM W YRRJ JHWDH JKRTW >PRJM L> JQN> >T JHWDH W JHWDH L> JYR >T >PRJM,W SRH QN>T >PRJM,QN>T >PRJM,,,,,qal,perf,,,,
57,1899280,SWR[,1Qisaa,Isaiah,11,13,SRH,W SRH QN>T >PRJM W YWRRJ JHWDH JKRTW >PRJM LW> JQN> >T JHWDH W JHWDH LW> JYR >T >PRJM,,,,,0,,qal,perf,,,,
58,216346,<WP[,MT,Isaiah,11,14,<PW,W <PW B KTP PLCTJM JMH JXDW JBZW >T BNJ QDM >DWM W MW>B MCLWX JDM W BNJ <MWN MCM<TM,W <PW B KTP PLCTJM JMH,,PLCTJM,0,,,qal,perf,,,,
59,1899300,<WP[,1Qisaa,Isaiah,11,14,<PW,W <PW B KTP PLCTJJM JMH JXDW W BZZW >T BNJ QDM >DWM W MW>B MCLWX JDM W BNJ <MWN MCM<TM,,,,,1,,qal,perf,,,,
60,216407,<LH[,MT,Isaiah,11,16,<LTW,W HJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJTH L JFR>L B JWM <LTW M >RY MYRJM,<LTW M >RY MYRJM,,M >RY MYRJM,0,,,qal,infc,M,,,
61,1899364,<LH[,1Qisaa,Isaiah,11,16,<LWT,W HJJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJJTH L JFR>L B JWM <LWT M >RY MYRJM,,,M >RY MYRJM,0,0,unc or missing,qal,infc,M,,,
62,216102,NWX[,MT,Isaiah,11,2,NXH,W NXH <LJW RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,W NXH <LJW RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,<LJW,0,,,qal,perf,<LJW,,,
63,1899049,NWX[,1Qisaa,Isaiah,11,2,NXH,W NXH <LJW RWX JHWH RWX XKMH W BJNH RWX <YH W GBWRH RWX D<T W JR>T JHWH,,,<LJW,0,0,,qal,perf,<LJW,,,
64,216423,CWB[,MT,Isaiah,12,1,JCB,W >MRT B JWM H HW> >WDK JHWH KJ >NPT BJ JCB >PK W TNXMNJ,JCB >PK,>PK,,,,,qal,impf,,,,
65,1899381,CWB[,1Qisaa,Isaiah,12,1,CB,W >MRTH B JWM H HW> >WDKH JHWH KJ >NPTH BJ W CB >PKH W TNXMNJ,,,,,0,,qal,perf,,,,
66,216635,JY>[,MT,Isaiah,13,10,Y>TW,KJ KWKBJ H CMJM W KSJLJHM L> JHLW >WRM XCK H CMC B Y>TW W JRX L> JGJH >WRW,B Y>TW,,,,,,qal,infc,,,,
67,1899605,JY>[,1Qisaa,Isaiah,13,10,Y>TW,KJ KWKBJ H CMJM W KSLJHM LW> J>JRW >WRM XCK H CMC B Y>TW W JRX LW> JGJH >WRW,,,,,0,,qal,infc,,,,
68,216700,PNH[,MT,Isaiah,13,14,JPNW,W HJH K YBJ MDX W K Y>N W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,K YBJ MDX W K Y>N JPNW,,,,,,qal,impf,,,,
69,216705,NWS[,MT,Isaiah,13,14,JNWSW,W HJH K YBJ MDX W K Y>N W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,W JNWSW,,,,,,qal,impf,,,,
70,1899674,PNH[,1Qisaa,Isaiah,13,14,JPNW,W HJW K YBJ MDX W K Y>WN W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,,,,,0,,qal,impf,,,,
71,1899679,NWS[,1Qisaa,Isaiah,13,14,JNWSW,W HJW K YBJ MDX W K Y>WN W >JN MQBY >JC >L <MW JPNW W >JC >L >RYW JNWSW,,,,,0,,qal,impf,,,,
72,216714,NPL[,MT,Isaiah,13,15,JPWL,KL H NMY> JDQR W KL H NSPH JPWL B XRB,W KL H NSPH JPWL B XRB,KL H NSPH,,,,,qal,impf,,,,
73,1899689,NPL[,1Qisaa,Isaiah,13,15,JPWL,KWL H NMY> JDQR W KWL H NSPH JPWL B XRB,,,,,0,,qal,impf,,,,
74,216516,BW>[,MT,Isaiah,13,2,JB>W,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD W JB>W PTXJ NDJBJM,W JB>W PTXJ NDJBJM,,PTXJ NDJBJM,0,,,qal,impf,,,,
75,1899480,BW>[,1Qisaa,Isaiah,13,2,JBW>,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD JBW> PTXJ NDJBJM,,,,,0,,qal,impf,,,,
76,216823,BW>[,MT,Isaiah,13,22,BW>,W <NH >JJM B >LMNWTJW W TNJM B HJKLJ <NG W QRWB L BW> <TH W JMJH L> JMCKW,L BW>,,,,,,qal,infc,,,,
77,1899806,BW>[,1Qisaa,Isaiah,13,22,BW>,W <NH >JM B >LMNWTW W TNJM B HJKLW <NWGW QRWB L BW> <TH W JMJH LW> JMCKW <WD,,,,,0,,qal,infc,,,,
78,216548,BW>[,MT,Isaiah,13,5,B>JM,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW,JHWH W KLJ Z<MW,M >RY MRXQ M QYH H CMJM,0,,,qal,ptca,M,M,,
79,1899514,BW>[,1Qisaa,Isaiah,13,5,B>JM,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,,,M >RY MRXQ M QYH H CMJM,0,0,,qal,ptca,M,M,,
80,216574,BW>[,MT,Isaiah,13,6,JBW>,HJLJLW KJ QRWB JWM JHWH K CD M CDJ JBW>,K CD M CDJ JBW>,,,,,,qal,impf,,,,
81,1899541,BW>[,1Qisaa,Isaiah,13,6,JBW>,HJLJLW KJ QRWB JWM JHWH K CD M CDJ JBW>,,,,,0,,qal,impf,,,,
82,216605,BW>[,MT,Isaiah,13,9,B>,HNH JWM JHWH B> >KZRJ W <BRH W XRWN >P L FWM H >RY L CMH W XV>JH JCMJD MMNH,HNH JWM JHWH B> >KZRJ W <BRH W XRWN >P,JWM JHWH,,,,,qal,perf,,,,
83,1899575,BW>[,1Qisaa,Isaiah,13,9,B>,HNH JWM JHWH B> >GZRJ W <BRH W XRWN >P L FWM >RY L CMH W XV>JM JCMJD MMNH,,,,,0,,qal,ptca,,,,
84,216840,NWX[,MT,Isaiah,14,1,HNJXM,KJ JRXM JHWH >T J<QB W BXR <WD B JFR>L W HNJXM <L >DMTM W NLWH H GR <LJHM W NSPXW <L BJT J<QB,W HNJXM <L >DMTM,,<L >DMTM,0,,,hif,perf,<L,,,
85,1899825,NWX[,1Qisaa,Isaiah,14,1,HNJXM,KJ JRXM JHWH >T J<QWB W BXR <WD B JFR>L W HNJXM <L >DMTM W NLW> H GR <LJHM W NSPXW <L BJT J<QWB,,,<L >DMTM,0,0,,hifil,perf,<L,,,
86,216991,JRD[,MT,Isaiah,14,11,HWRD,HWRD C>WL G>WNK HMJT NBLJK TXTJK JY< RMH W MKSJK TWL<H,HWRD C>WL G>WNK HMJT NBLJK,G>WNK HMJT NBLJK,C>WL,0,,,hof,perf,,,,
87,1899992,JRD[,1Qisaa,Isaiah,14,11,HWRD,HWRD C>WL G>WNK H MWT NBLTK TXTJK JY< RMH W MKSK TWL<H,,,,,0,,hofal,perf,,,,
88,217003,NPL[,MT,Isaiah,14,12,NPLT,>JK NPLT M CMJM HJLL BN CXR NGD<T L >RY XWLC <L GWJM,>JK NPLT M CMJM,,M CMJM,0,,,qal,perf,M,,,
89,1900006,NPL[,1Qisaa,Isaiah,14,12,NPLTH,HJKH NPLTH M H CMJM HJLJL BN CXR NGD<TH L >RY XWLC <L GWJ,,,,,0,,qal,perf,,,,
90,217023,<LH[,MT,Isaiah,14,13,><LH,W >TH >MRT B LBBK H CMJM ><LH M M<L L KWKBJ >L >RJM KS>J W >CB B HR MW<D B JRKTJ YPWN,H CMJM ><LH,,H CMJM,0,,,qal,impf,,,,
91,1900027,<LH[,1Qisaa,Isaiah,14,13,><LH,W >TH >MRTH B LBBKH H CMJM ><LH M M<LH L KWKBJ >L >RJM KS>J >CB B HR MW<D B JRKTJ YPWN,,,,,1,,qal,impf,,,,
92,217039,<LH[,MT,Isaiah,14,14,><LH,><LH <L BMTJ <B >DMH L <LJWN,><LH <L BMTJ <B,,<L BMTJ <B,0,,,qal,impf,<L,,,
93,1900043,<LH[,1Qisaa,Isaiah,14,14,><LH,><LH <L BWMTJ <B >DMH L <LJWN,,,<L BMTJ <B,0,0,,qal,impf,<L,,,
94,217049,JRD[,MT,Isaiah,14,15,TWRD,>K >L C>WL TWRD >L JRKTJ BWR,>K >L C>WL TWRD >L JRKTJ BWR,,>K >L C>WL >L JRKTJ BWR,0,,,hof,impf,>L,>L,,
95,1900054,JRD[,1Qisaa,Isaiah,14,15,TWRD,>K >L C>WL TWRD >L JRKTJ BWR,,,>K >L C>WL >L JRKTJ BWR,0,0,,hofal,impf,>L,>L,,
96,217101,JRD[,MT,Isaiah,14,19,JWRDJ,W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS,JWRDJ >L >BNJ BWR K PGR MWBS,,>L >BNJ BWR,0,,,qal,ptca,>L,,,
97,1900109,JRD[,1Qisaa,Isaiah,14,19,JWRDW,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >L >BNJ BWR K PGR MWBS,,,>L >BNJ BWR,0,0,,qal,ptca,>L,,,
98,216857,BW>[,MT,Isaiah,14,2,HBJ>WM,W LQXWM <MJM W HBJ>WM >L MQWMM W HTNXLWM BJT JFR>L <L >DMT JHWH L <BDJM W L CPXWT W HJW CBJM L CBJHM W RDW B NGFJHM,W HBJ>WM >L MQWMM,,>L MQWMM,0,,,hif,perf,>L,,,
99,1899844,BW>[,1Qisaa,Isaiah,14,2,HBJ>WM,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM,,,,,0,,hifil,perf,,,,
100,1900118,NXT[,1Qisaa,Isaiah,14,20,TXT,LW> TXT >WTM B QBWRH KJ >RYK CXTH <MK HRGTH LW> JQR>W L <WLM ZR< MR<JM,,,,,0,,hifil,impf,,,,
101,217204,SWR[,MT,Isaiah,14,25,SR,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,W SR M <LJHM <LW,<LW,M <LJHM,0,,,qal,perf,M,<LJHM,,
102,217213,SWR[,MT,Isaiah,14,25,JSWR,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,W SBLW M <L CKMW JSWR,SBLW,M <L CKMW,0,,,qal,impf,M,<L,,
103,1900216,SWR[,1Qisaa,Isaiah,14,25,SR,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,,,,,0,,qal,perf,,,,
104,1900225,SWR[,1Qisaa,Isaiah,14,25,JSWR,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,,,,,0,,qal,impf,,,,
105,217246,CWB[,MT,Isaiah,14,27,JCJBNH,KJ JHWH YB>WT J<Y W MJ JPR W JDW H NVWJH W MJ JCJBNH,W MJ JCJBNH,MJ,,,,,hif,impf,,,,
106,1900260,CWB[,1Qisaa,Isaiah,14,27,JCJBNH,KJ> JHWH YB>WT J<Y W MJ JPR W JDJW H NVWJH W MJ JCJBNH,,,,,0,,hifil,impf,,,,
107,217270,JY>[,MT,Isaiah,14,29,JY>,>L TFMXJ PLCT KLK KJ NCBR CBV MKK KJ M CRC NXC JY> YP< W PRJW FRP M<WPP,KJ M CRC NXC JY> YP<,YP<,M CRC NXC,0,,,qal,impf,M,,,
108,217275,<WP[,MT,Isaiah,14,29,M<WPP,>L TFMXJ PLCT KLK KJ NCBR CBV MKK KJ M CRC NXC JY> YP< W PRJW FRP M<WPP,W PRJW FRP M<WPP,PRJW,,,,,piel,ptca,,,,
109,1900287,JY>[,1Qisaa,Isaiah,14,29,JY>,>L TFMXJ PLCT KWLK KJ NCBR CBV MKKH KJ M CWRC NXC JY> YP< W PRJW FRP M<WPP,,,M CRC NXC,0,0,unc or missing,qal,impf,M,,,
110,1900292,<WP[,1Qisaa,Isaiah,14,29,M<WPP,>L TFMXJ PLCT KWLK KJ NCBR CBV MKKH KJ M CWRC NXC JY> YP< W PRJW FRP M<WPP,,,,,0,unc or missing,polel,ptca,,,,
111,216885,NWX[,MT,Isaiah,14,3,HNJX,W HJH B JWM HNJX JHWH LK M <YBK W M RGZK W MN H <BDH H QCH >CR <BD BK,HNJX JHWH LK M <YBK W M RGZK W MN H <BDH H QCH,JHWH,LK,0,,,hif,infc,LK,,,
112,1899876,NWX[,1Qisaa,Isaiah,14,3,HNJX,W HJH B JWM HNJX JHWH LK M <YBK W M RWGZK W MN H <BWDH H QCH >CR <BDW BKH,,,LK,0,0,,hifil,infc,LK,,,
113,217305,BW>[,MT,Isaiah,14,31,B>,HJLJLJ C<R Z<QJ <JR NMWG PLCT KLK KJ M YPWN <CN B> W >JN BWDD B MW<DJW,KJ M YPWN <CN B>,<CN,M YPWN,0,,,qal,perf,M,,,
114,1900323,BW>[,1Qisaa,Isaiah,14,31,B>,HJLJLJ C<R Z<QJ <JR NMWG PLCT KWLK KJ M YPWN <CN B> W >JN MWDD B MWD<JW,,,,,0,,qal,ptca,,,,
115,217322,XSH[,MT,Isaiah,14,32,JXSW,W MH J<NH ML>KJ GWJ KJ JHWH JSD YJWN W BH JXSW <NJJ <MW,W BH JXSW <NJJ <MW,<NJJ <MW,,,,,qal,impf,,,,
116,1900341,XSH[,1Qisaa,Isaiah,14,32,JXSW,W MH J<NW MLKJ GWJ KJ JHWH JSD YJWN W BW JXSW <NJJ <MW,,,,,0,,qal,impf,,,,
117,216939,NWX[,MT,Isaiah,14,7,NXH,NXH CQVH KL H >RY PYXW RNH,NXH,,,,,,qal,perf,,,,
118,1899934,NWX[,1Qisaa,Isaiah,14,7,NXH,NXH CQVH KWL H >RY PYXW RWNH,,,,,0,,qal,perf,,,,
119,216956,<LH[,MT,Isaiah,14,8,J<LH,GM BRWCJM FMXW LK >RZJ LBNWN M >Z CKBT L> J<LH H KRT <LJNW,L> J<LH H KRT <LJNW,H KRT,<LJNW,0,,,qal,impf,<LJNW,,,
120,1899954,<LH[,1Qisaa,Isaiah,14,8,J<LH,GM BRWCJM FMXW LK >RZJ H LBNWN M >Z CKBTH W LW> J<LH H KWRT <LJNW,,,,,0,,qal,impf,,,,
