,verb_id,lex,scroll,book,chapter,verse,g_cons,hebrew,g_cons_verse,stem,tense,subject,subj_heb,complement,cmpl_heb
23,216012,<BR[,MT,Isaiah,10,28,<BR,עָבַ֣ר ,B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW,qal,perf,,,B MGRWN,בְּמִגְרֹ֑ון 
24,1898948,BW>[,1Qisaa,Isaiah,10,28,B>,בא ,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,qal,perf,,,<L <JT,עַל־עַיַּ֖ת 
25,1898951,<BR[,1Qisaa,Isaiah,10,28,<BR,עבר ,B> <L <JTH <BR B MGRWN L MKMC JPQWD KLJW,qal,perf,,,B MGRWN,בְּמִגְרֹ֑ון 
26,216019,<BR[,MT,Isaiah,10,29,<BRW,עָֽבְרוּ֙ ,<BRW M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,M<BRH,מַעְבָּרָ֔ה 
27,1898959,<BR[,1Qisaa,Isaiah,10,29,<BR,עבר ,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,,
28,1898970,NWS[,1Qisaa,Isaiah,10,29,NSH,נסה ,<BR B M<BRH GB< MLWN LNW XRDH H RMH GB<T C>WL NSH,qal,perf,,,,
29,215564,BW>[,MT,Isaiah,10,3,TBW>,תָּבֹ֑וא ,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,qal,impf,,,M MRXQ,מִמֶּרְחָ֣ק 
30,215567,NWS[,MT,Isaiah,10,3,TNWSW,תָּנ֣וּסוּ ,W MH T<FW L JWM PQDH W L CW>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZBW KBWDKM,qal,impf,,,<L MJ,עַל־מִי֙ 
31,1898482,BW>[,1Qisaa,Isaiah,10,3,TBW>,תבוא ,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,qal,impf,,,M MRXQ,מִמֶּרְחָ֣ק 
32,1898485,NWS[,1Qisaa,Isaiah,10,3,TNWSW,תנוסו ,W MH T<FW L JWM PQWDH W L C>H M MRXQ TBW> <L MJ TNWSW L <ZRH W >NH T<ZWBW KBWDKM,qal,impf,,,<L MJ,עַל־מִי֙ 
33,1899034,NPL[,1Qisaa,Isaiah,10,34,JPWL,יפול ,W NQP SBKJ H J<R B BRZL W H LBNWN B >DJR JPWL,qal,impf,,,,
34,215581,NPL[,MT,Isaiah,10,4,JPLW,יִפֹּ֑לוּ ,BLTJ KR< TXT >SJR W TXT HRWGJM JPLW B KL Z>T L> CB >PW W <WD JDW NVWJH,qal,impf,,,TXT HRWGJM,תַ֥חַת הֲרוּגִ֖ים 
35,1898500,NPL[,1Qisaa,Isaiah,10,4,JPLW,יפלו ,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,qal,impf,,,,
36,1898506,CWB[,1Qisaa,Isaiah,10,4,CB,שב ,BLTJ KR< TXT >SWR W TXT HRWGJM JPLW W B KWL ZW>T LW> CB >PW W <WD JDJW NVWJH,qal,perf,,,,
37,215605,CLX[,MT,Isaiah,10,6,>CLXNW,אֲשַׁלְּחֶ֔נּוּ ,B GWJ XNP >CLXNW W <L <M <BRTJ >YWNW L CLL CLL W L BZ BZ W L FJMW MRMS K XMR XWYWT,piel,impf,,,B GWJ XNP,בְּגֹ֤וי חָנֵף֙ 
38,1898527,CLX[,1Qisaa,Isaiah,10,6,>CLXNW,אשלח׳נו ,B GWJ XNP >CLXNW W <L <M <BRTJ >YWNW L CLWL CLL W L BZ BZ W L FWM MRMS K XMR XWYWT,piel,impf,,,B GWJ XNP,בְּגֹ֤וי חָנֵף֙ 
39,216091,JY>[,MT,Isaiah,11,1,JY>,יָצָ֥א ,W JY> XVR M GZ< JCJ W NYR M CRCJW JPRH,qal,perf,XVR,חֹ֖טֶר ,M GZ< JCJ,מִגֵּ֣זַע יִשָׁ֑י 
40,1899037,JY>[,1Qisaa,Isaiah,11,1,JY>,יצא ,W JY> XVR M GZ< JCJ W NYR M CWRCJW JPRH,qal,perf,,,M GZ< JCJ,מִגֵּ֣זַע יִשָׁ֑י 
41,216320,QBY[,MT,Isaiah,11,12,JQBY,יְקַבֵּ֔ץ ,W NF> NS L GWJM W >SP NDXJ JFR>L W NPYWT JHWDH JQBY M >RB< KNPWT H >RY,piel,impf,,,M >RB< KNPWT H >RY,מֵאַרְבַּ֖ע כַּנְפֹ֥ות הָאָֽרֶץ׃ 
42,1899267,>SP[,1Qisaa,Isaiah,11,12,>SP,אספ ,W NFH NS L GW>JM W >SP NDXJ JFR>L W NPWYWT JHWDH JQBY M KNPWT H >RY,qal,perf,,,,
43,1899273,QBY[,1Qisaa,Isaiah,11,12,JQBY,יקבצ ,W NFH NS L GW>JM W >SP NDXJ JFR>L W NPWYWT JHWDH JQBY M KNPWT H >RY,piel,impf,,,,
44,216407,<LH[,MT,Isaiah,11,16,<LTW,עֲלֹתֹ֖ו ,W HJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJTH L JFR>L B JWM <LTW M >RY MYRJM,qal,infc,,,M >RY MYRJM,מֵאֶ֥רֶץ מִצְרָֽיִם׃ 
45,1899364,<LH[,1Qisaa,Isaiah,11,16,<LWT,עלות׳ #  ,W HJJTH MSLH L C>R <MW >CR JC>R M >CWR K >CR HJJTH L JFR>L B JWM <LWT M >RY MYRJM,qal,infc,,,M >RY MYRJM,מֵאֶ֥רֶץ מִצְרָֽיִם׃ 
46,1899381,CWB[,1Qisaa,Isaiah,12,1,CB,שב ,W >MRTH B JWM H HW> >WDKH JHWH KJ >NPTH BJ W CB >PKH W TNXMNJ,qal,perf,,,,
47,1899605,JY>[,1Qisaa,Isaiah,13,10,Y>TW,צאת׳ו ,KJ KWKBJ H CMJM W KSLJHM LW> J>JRW >WRM XCK H CMC B Y>TW W JRX LW> JGJH >WRW,qal,infc,,,,
48,1899689,NPL[,1Qisaa,Isaiah,13,15,JPWL,יפול ,KWL H NMY> JDQR W KWL H NSPH JPWL B XRB,qal,impf,,,,
49,216516,BW>[,MT,Isaiah,13,2,JB>W,יָבֹ֖אוּ ,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD W JB>W PTXJ NDJBJM,qal,impf,,,PTXJ NDJBJM,פִּתְחֵ֥י נְדִיבִֽים׃ 
50,1899480,BW>[,1Qisaa,Isaiah,13,2,JBW>,יבוא ,<L HR NCPH F>W NS HRJMW QWL LHM HNJPW JD JBW> PTXJ NDJBJM,qal,impf,,,,
51,1899806,BW>[,1Qisaa,Isaiah,13,22,BW>,בוא ,W <NH >JM B >LMNWTW W TNJM B HJKLW <NWGW QRWB L BW> <TH W JMJH LW> JMCKW <WD,qal,infc,,,,
52,1899507,>SP[,1Qisaa,Isaiah,13,4,NSPJM,נספים ,QWL HMWN B HRJM DMWT <M RB QWL C>WN MMLKWT GW>JM NSPJM JHWH YB>WT MPQD YB> MLXMH,nifal,ptca,,,,
53,216548,BW>[,MT,Isaiah,13,5,B>JM,בָּאִ֛ים ,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,qal,ptca,JHWH W KLJ Z<MW,יְהוָה֙ וּכְלֵ֣י זַעְמֹ֔ו ,M >RY MRXQ M QYH H CMJM,מֵאֶ֥רֶץ מֶרְחָ֖ק מִקְצֵ֣ה הַשָּׁמָ֑יִם 
54,1899514,BW>[,1Qisaa,Isaiah,13,5,B>JM,באים ,B>JM M >RY MRXQ M QYH H CMJM JHWH W KLJ Z<MW L XBL KL H >RY,qal,ptca,,,M >RY MRXQ M QYH H CMJM,מֵאֶ֥רֶץ מֶרְחָ֖ק מִקְצֵ֣ה הַשָּׁמָ֑יִם 
55,1899575,BW>[,1Qisaa,Isaiah,13,9,B>,בא ,HNH JWM JHWH B> >GZRJ W <BRH W XRWN >P L FWM >RY L CMH W XV>JM JCMJD MMNH,qal,ptca,,,,
56,216991,JRD[,MT,Isaiah,14,11,HWRD,הוּרַ֥ד ,HWRD C>WL G>WNK HMJT NBLJK TXTJK JY< RMH W MKSJK TWL<H,hof,perf,G>WNK HMJT NBLJK,גְאֹונֶ֖ךָ הֶמְיַ֣ת נְבָלֶ֑יךָ ,C>WL,שְׁאֹ֛ול 
57,1899992,JRD[,1Qisaa,Isaiah,14,11,HWRD,הורד ,HWRD C>WL G>WNK H MWT NBLTK TXTJK JY< RMH W MKSK TWL<H,hofal,perf,,,,
58,217003,NPL[,MT,Isaiah,14,12,NPLT,נָפַ֥לְתָּ ,>JK NPLT M CMJM HJLL BN CXR NGD<T L >RY XWLC <L GWJM,qal,perf,,,M CMJM,מִשָּׁמַ֖יִם 
59,1900006,NPL[,1Qisaa,Isaiah,14,12,NPLTH,נפלתה ,HJKH NPLTH M H CMJM HJLJL BN CXR NGD<TH L >RY XWLC <L GWJ,qal,perf,,,,
60,217023,<LH[,MT,Isaiah,14,13,><LH,אֶֽעֱלֶ֔ה ,W >TH >MRT B LBBK H CMJM ><LH M M<L L KWKBJ >L >RJM KS>J W >CB B HR MW<D B JRKTJ YPWN,qal,impf,,,H CMJM,הַשָּׁמַ֣יִם 
61,1900027,<LH[,1Qisaa,Isaiah,14,13,><LH,אעלה ,W >TH >MRTH B LBBKH H CMJM ><LH M M<LH L KWKBJ >L >RJM KS>J >CB B HR MW<D B JRKTJ YPWN,qal,impf,,,,
62,217039,<LH[,MT,Isaiah,14,14,><LH,אֶעֱלֶ֖ה ,><LH <L BMTJ <B >DMH L <LJWN,qal,impf,,,<L BMTJ <B,עַל־בָּ֣מֳתֵי עָ֑ב 
63,1900043,<LH[,1Qisaa,Isaiah,14,14,><LH,אעלה ,><LH <L BWMTJ <B >DMH L <LJWN,qal,impf,,,<L BMTJ <B,עַל־בָּ֣מֳתֵי עָ֑ב 
64,217049,JRD[,MT,Isaiah,14,15,TWRD,תּוּרָ֖ד ,>K >L C>WL TWRD >L JRKTJ BWR,hof,impf,,,>K >L C>WL >L JRKTJ BWR,אַ֧ךְ אֶל־שְׁאֹ֛ול אֶל־יַרְכְּתֵי־בֹֽור׃ 
65,1900054,JRD[,1Qisaa,Isaiah,14,15,TWRD,תורד ,>K >L C>WL TWRD >L JRKTJ BWR,hofal,impf,,,>K >L C>WL >L JRKTJ BWR,אַ֧ךְ אֶל־שְׁאֹ֛ול אֶל־יַרְכְּתֵי־בֹֽור׃ 
66,217091,CLK[,MT,Isaiah,14,19,HCLKT,הָשְׁלַ֤כְתָּ ,W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS,hof,perf,>TH,אַתָּ֞ה ,M QBRK,מִֽקִּבְרְךָ֙ 
67,217101,JRD[,MT,Isaiah,14,19,JWRDJ,יֹורְדֵ֥י ,W >TH HCLKT M QBRK K NYR NT<B LBWC HRGJM MV<NJ XRB JWRDJ >L >BNJ BWR K PGR MWBS,qal,ptca,,,>L >BNJ BWR,אֶל־אַבְנֵי־בֹ֖ור 
68,1900099,CLK[,1Qisaa,Isaiah,14,19,HWCLKTH,הושלכתה ,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >L >BNJ BWR K PGR MWBS,hofal,perf,,,M QBRK,מִֽקִּבְרְךָ֙ 
69,1900109,JRD[,1Qisaa,Isaiah,14,19,JWRDW,יורדו ,W >TH HWCLKTH M QWBRK K NYR NT<B LBC HRWGJM MV<NJ XRB JWRDW >L >BNJ BWR K PGR MWBS,qal,ptca,,,>L >BNJ BWR,אֶל־אַבְנֵי־בֹ֖ור 
70,216857,BW>[,MT,Isaiah,14,2,HBJ>WM,הֱבִיא֣וּם ,W LQXWM <MJM W HBJ>WM >L MQWMM W HTNXLWM BJT JFR>L <L >DMT JHWH L <BDJM W L CPXWT W HJW CBJM L CBJHM W RDW B NGFJHM,hif,perf,,,>L MQWMM,אֶל־מְקֹומָם֒ 
71,1899840,LQX[,1Qisaa,Isaiah,14,2,LQXWM,לקחו׳ם ,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM,qal,perf,,,,
72,1899844,BW>[,1Qisaa,Isaiah,14,2,HBJ>WM,הביאו׳ם ,W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM,hifil,perf,,,,
73,217204,SWR[,MT,Isaiah,14,25,SR,סָ֤ר ,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,qal,perf,<LW,עֻלֹּ֔ו ,M <LJHM,מֵֽעֲלֵיהֶם֙ 
74,217213,SWR[,MT,Isaiah,14,25,JSWR,יָסֽוּר׃ ,L CBR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJHM <LW W SBLW M <L CKMW JSWR,qal,impf,SBLW,סֻ֨בֳּלֹ֔ו ,M <L CKMW,מֵעַ֥ל שִׁכְמֹ֖ו 
75,1900216,SWR[,1Qisaa,Isaiah,14,25,SR,סר ,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,qal,perf,,,,
76,1900225,SWR[,1Qisaa,Isaiah,14,25,JSWR,יסור ,L CBWR >CWR B >RYJ W <L HRJ >BWSNW W SR M <LJKMH <LW W SBLW M <L CKMKH JSWR,qal,impf,,,,
77,217270,JY>[,MT,Isaiah,14,29,JY>,יֵ֣צֵא ,>L TFMXJ PLCT KLK KJ NCBR CBV MKK KJ M CRC NXC JY> YP< W PRJW FRP M<WPP,qal,impf,YP<,צֶ֔פַע ,M CRC NXC,מִשֹּׁ֤רֶשׁ נָחָשׁ֙ 
78,1900287,JY>[,1Qisaa,Isaiah,14,29,JY>,יצא ,>L TFMXJ PLCT KWLK KJ NCBR CBV MKKH KJ M CWRC NXC JY> YP< W PRJW FRP M<WPP,qal,impf,,,M CRC NXC,מִשֹּׁ֤רֶשׁ נָחָשׁ֙ 
79,217305,BW>[,MT,Isaiah,14,31,B>,בָּ֔א ,HJLJLJ C<R Z<QJ <JR NMWG PLCT KLK KJ M YPWN <CN B> W >JN BWDD B MW<DJW,qal,perf,<CN,עָשָׁ֣ן ,M YPWN,מִצָּפֹון֙ 
80,1900323,BW>[,1Qisaa,Isaiah,14,31,B>,בא ,HJLJLJ C<R Z<QJ <JR NMWG PLCT KWLK KJ M YPWN <CN B> W >JN MWDD B MWD<JW,qal,ptca,,,,
81,216956,<LH[,MT,Isaiah,14,8,J<LH,יַעֲלֶ֥ה ,GM BRWCJM FMXW LK >RZJ LBNWN M >Z CKBT L> J<LH H KRT <LJNW,qal,impf,H KRT,הַכֹּרֵ֖ת ,<LJNW,עָלֵֽינוּ׃ 
82,1899954,<LH[,1Qisaa,Isaiah,14,8,J<LH,יעלה ,GM BRWCJM FMXW LK >RZJ H LBNWN M >Z CKBTH W LW> J<LH H KWRT <LJNW,qal,impf,,,,
83,217340,<LH[,MT,Isaiah,15,2,<LH,עָלָ֨ה ,<LH H BJT W DJBN H BMWT L BKJ <L NBW W <L MJDB> MW>B JJLJL B KL R>CJW QRXH KL ZQN GRW<H,qal,perf,,,H BJT,הַבַּ֧יִת 
84,1900363,<LH[,1Qisaa,Isaiah,15,2,<LH,עלה ,<LH H BJT W DJBWN H B>MWT L BKJ <L NBW W <L MJDBH MW>B JLJL B KWL R>WCW QRXH W KL ZQN GRW<H,qal,perf,,,,
85,1900400,JRD[,1Qisaa,Isaiah,15,3,JRD,ירד ,B XWYWTJH XGWRW FQ <L GGWTJH W B RXWBTJH KLH JHJLJL W JRD B BKJ,qal,ptca,,,,
86,217409,<LH[,MT,Isaiah,15,5,J<LH,יַֽעֲלֶה־,LBJ L MW>B JZ<Q BRJXH <D Y<R <GLT CLCJH KJ M<LH H LWXJT B BKJ J<LH BW KJ DRK XWRNJM Z<QT CBR J<<RW,qal,impf,,,BW,בֹּ֔ו 
87,1900437,<LH[,1Qisaa,Isaiah,15,5,J<LH,יעלה ,LBJ L MW>B JZ<Q BRXWH <D Y<WR <GLT CLJCJH KJ M<LH H LWXWT B BKJ J<LH BW KJ DRK XWRWNJM Z<QT CBRJ <RW,qal,impf,,,,
88,217472,CLX[,MT,Isaiah,16,1,CLXW,שִׁלְחוּ־,CLXW KR MCL >RY M SL< MDBRH >L HR BT YJWN,qal,impv,,,M SL<,מִסֶּ֣לַע 
89,217472,CLX[,MT,Isaiah,16,1,CLXW,שִׁלְחוּ־,CLXW KR MCL >RY M SL< MDBRH >L HR BT YJWN,qal,impv,,,MDBRH >L HR BT YJWN,מִדְבָּ֑רָה אֶל־הַ֖ר בַּת־צִיֹּֽון׃ 
90,1900504,CLX[,1Qisaa,Isaiah,16,1,CLXW,שלחו ,CLXW KR MCL >RY M SLH MDBRH >L HR BT YJWN,qal,impv,,,,
91,217622,>SP[,MT,Isaiah,16,10,N>SP,נֶאֱסַ֨ף ,W N>SP FMXH W GJL MN H KRML W B KRMJM L> JRNN L> JR<< JJN B JQBJM L> JDRK H DRK HJDD HCBTJ,nif,perf,FMXH W GJL,שִׂמְחָ֤ה וָגִיל֙ ,MN H KRML,מִן־הַכַּרְמֶ֔ל 
92,1900645,>SP[,1Qisaa,Isaiah,16,10,N>SP,נאסף ,W N>SP FMXH W GJL MN H KRML W B KRMJM LW> JRNNW W LW> JRW<< JJN B JQBJM LW> JDRWK H DWRK HJDD HCBTJ,nifal,perf,,,,
93,217671,BW>[,MT,Isaiah,16,12,B>,בָ֧א ,W HJH KJ NR>H KJ NL>H MW>B <L H BMH W B> >L MQDCW L HTPLL W L> JWKL,qal,perf,,,>L MQDCW,אֶל־מִקְדָּשֹׁ֛ו 
94,1900688,BW>[,1Qisaa,Isaiah,16,12,B>,בא ,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> JWKL,qal,perf,,,,
95,1900694,BW>[,1Qisaa,Isaiah,16,12,B>,בא ,JHJH KJ NR>H KJ B> MW>B <L H BMH W B> >L MQDCJW L HTPLL W LW> JWKL,qal,perf,,,,
96,1900530,BW>[,1Qisaa,Isaiah,16,3,HBJW,הביו ,HBJW <YH <FW PLJLH CJTJ K LJL YLK B TWK YHRJM STRJ NDXJM NWDD >L TGLJ,hifil,impv,,,,
97,1900545,GLH[,1Qisaa,Isaiah,16,3,TGLJ,תגלי ,HBJW <YH <FW PLJLH CJTJ K LJL YLK B TWK YHRJM STRJ NDXJM NWDD >L TGLJ,piel,impf,,,,
98,1900642,NPL[,1Qisaa,Isaiah,16,9,NPL,נפל ,>RZJK DM<TJ XCBWN W >L<LH KJ> L <L QJYK W <L QYJRK HJDD NPL,qal,perf,,,,
99,217721,SWR[,MT,Isaiah,17,1,MWSR,מוּסָ֣ר ,MF> DMFQ HNH DMFQ MWSR M <JR W HJTH M<J MPLH,hof,ptcp,DMFQ,דַמֶּ֨שֶׂק֙ ,M <JR,מֵעִ֔יר 
100,1900748,SWR[,1Qisaa,Isaiah,17,1,MWSR,מוסר ,MF> DRMFQ HNH DRMFQ MWSR M <JR W HJJT M<J MPLH,hofal,ptca,,,M <JR,מֵעִ֔יר 
101,217935,NWS[,MT,Isaiah,17,13,NS,נָ֣ס ,L>MJM K C>WN MJM RBJM JC>WN W G<R BW W NS M MRXQ W RDP K MY HRJM L PNJ RWX W K GLGL L PNJ SWPH,qal,perf,,,M MRXQ,מִמֶּרְחָ֑ק 
102,1900970,NWS[,1Qisaa,Isaiah,17,13,NS,נס ,L>WMJM K C>WN MJM RBJM JC>WN W JG<R BW W NS M MRXQ W RDP K MY HRJM L PNJ RWX W K GLGL L PNJ SWPH,qal,perf,,,M MRXQ,מִמֶּרְחָ֑ק 
103,1900806,>SP[,1Qisaa,Isaiah,17,5,>SP,אסף ,W HJH K >SP QYJR QMH W ZR<W CBLJM W QYJR W HJH K MLQV CBLJM B <MQ RP>JM,qal,infc,,,,
104,217980,CLX[,MT,Isaiah,18,2,CLX,שֹּׁלֵ֨חַ ,H CLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM >L GWJ MMCK W MWRV >L <M NWR> MN HW> W HL>H GWJ QW QW W MBWSH >CR BZ>W NHRJM >RYW,qal,ptca,,,B JM,בַּיָּ֜ם 
105,217992,HLK[,MT,Isaiah,18,2,LKW,לְכ֣וּ׀ ,H CLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM >L GWJ MMCK W MWRV >L <M NWR> MN HW> W HL>H GWJ QW QW W MBWSH >CR BZ>W NHRJM >RYW,qal,impv,,,>L GWJ MMCK W MWRV,אֶל־גֹּוי֙ מְמֻשָּׁ֣ךְ וּמֹורָ֔ט 
106,1901020,CLX[,1Qisaa,Isaiah,18,2,CWLX,שולח ,H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW,qal,ptca,,,,
107,1901031,HLK[,1Qisaa,Isaiah,18,2,LKW,לכו ,H CWLX B JM YJRJM W B KLJ GM> <L PNJ MJM LKW ML>KJM QLJM L GWJ MMCK W MMWRV >L <M NWR> MN HW> W HL>H GWJ QWQW W MBWSH >CR BZ>J NHRJM >RYW,qal,impv,,,,
108,1901116,SWR[,1Qisaa,Isaiah,18,5,HSJR,הסיר ,KJ L PNJ QYJR K TM PRX W BSWR GMWL JHJH NYH W KRT H ZLZLJM B MZMRWT W >T H NVJCWT HSJR HTZ,hifil,perf,,,,
