verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,sign_info,stem,tense,gcons_clause,subject,complement,cmpl_lex,cmpl_translation,dir_he,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,cmpl_complex,motion_type,preposition_1,preposition_2,preposition_3,preposition_4,preposition_5,preposition_6,preposition_7,comments
1986046,QRB[,4Q35,Deuteronomy,1,17,TQRJBWN,L> TKJRW PNJM B MCPV K QVN K GDL TCM<WN L> TGWRW M PNJ >JC KJ H MCPV L >LHJM HW> W H DBR >CR JQCH MKM TQRJBWN >LJ W CM<TJW,00 00000 0000 0 0000 0 000 0 000 000000 00 00000 0 000 000 00 0 0000 0 00000 000 0 0 000 000 0000 000 0000000 000 0 000000,hif,impf,W H DBR TQRJBWN >LJ,,>LJ,>L,to me (Moses),0,prep,prps,anim,det,prsf,simple,factive fictive,>L,,,,,,,bring the matters to me?
93184,NS<[,MT,Deuteronomy,1,19,NS<,W NS< M XRB W NLK >T KL H MDBR H GDWL W H NWR> H HW> >CR R>JTM DRK HR H >MRJ K >CR YWH JHWH >LHJNW >TNW W NB> <D QDC_BRN<,,qal,wayq,W NS< M XRB,,M XRB,MN XRB===/,from Horeb,0,prep,topo,inanim,det,nmpr,simple,factive,MN,,,,,,,
93188,HLK[,MT,Deuteronomy,1,19,NLK,W NS< M XRB W NLK >T KL H MDBR H GDWL W H NWR> H HW> >CR R>JTM DRK HR H >MRJ K >CR YWH JHWH >LHJNW >TNW W NB> <D QDC_BRN<,,qal,wayq,W NLK >T KL H MDBR H GDWL W H NWR> H HW> DRK HR H >MRJ,,no complement,no complement,,,,,,,,,,,,,,,,,
93213,BW>[,MT,Deuteronomy,1,19,NB>,W NS< M XRB W NLK >T KL H MDBR H GDWL W H NWR> H HW> >CR R>JTM DRK HR H >MRJ K >CR YWH JHWH >LHJNW >TNW W NB> <D QDC_BRN<,,qal,wayq,W NB> <D QDC_BRN<,,<D QDC_BRN<,<D QDC_BRN</,to Kadesh-barnea,0,prep,topo,inanim,det,nmpr,simple,factive,<D,,,,,,,
93219,BW>[,MT,Deuteronomy,1,20,B>TM,W >MR >LKM B>TM <D HR H >MRJ >CR JHWH >LHJNW NTN LNW,,qal,perf,B>TM <D HR H >MRJ,,<D HR H >MRJ,<D HR/ H >MRJ/,to the hill country of the Amorites,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
93238,<LH[,MT,Deuteronomy,1,21,<LH,R>H NTN JHWH >LHJK L PNJK >T H >RY <LH RC K >CR DBR JHWH >LHJ >BTJK LK >L TJR> W >L TXT,,qal,impv,<LH,,no complement,no complement,,,,,,,,,,,,,,,,,
93253,QRB[,MT,Deuteronomy,1,22,TQRBWN,W TQRBWN >LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,,qal,wayq,W TQRBWN >LJ KLKM,KLKM,>LJ,>L,to me (Moses),0,prep,prps,anim,det,prsf,simple,factive,>L,,,,,,,
93269,CWB[,MT,Deuteronomy,1,22,JCBW,W TQRBWN >LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,,hif,impf,W JCBW >TNW DBR >T H DRK W >T H <RJM,,no complement,no complement,,,,,,,,,,,,,,,,,
93276,<LH[,MT,Deuteronomy,1,22,N<LH,W TQRBWN >LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,,qal,impf,>CR N<LH BH,,BH,B,in it (the way),0,prep,prps,inanim,det,prsf,simple,factive,B,,,,,,,
93283,BW>[,MT,Deuteronomy,1,22,NB>,W TQRBWN >LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,,qal,impf,>CR NB> >LJHN,,>LJHN,>L,to them (the cities),0,prep,prps,inanim,det,prsf,simple,factive,>L,,,,,,,
1986066,CWB[,4Q35,Deuteronomy,1,22,JCBW,>LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NBW> >LJHN,000 0000 0 00000 00000 00000 0 00000 0 00000 000 00 0 000 0 0000 0000 000 00 0 000 000 0000 00 0 00 0 0000 000 0000 00000,hif,impf,W JCBW >TNW DBR >T H DRK,None,no complement,no complement,,,,,,,,,,,,,,,,,
1986073,<LH[,4Q35,Deuteronomy,1,22,N<LH,>LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NBW> >LJHN,000 0000 0 00000 00000 00000 0 00000 0 00000 000 00 0 000 0 0000 0000 000 00 0 000 000 0000 00 0 00 0 0000 000 0000 00000,qal,impf,>CR N<LH BH,,BH,B,in it (the way),0,prep,prps,inanim,det,prsf,simple,factive,B,,,,,,,
1986080,BW>[,4Q35,Deuteronomy,1,22,NBW>,>LJ KLKM W T>MRW NCLXH >NCJM L PNJNW W JXPRW LNW >T H >RY W JCBW >TNW DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NBW> >LJHN,000 0000 0 00000 00000 00000 0 00000 0 00000 000 00 0 000 0 0000 0000 000 00 0 000 000 0000 00 0 00 0 0000 000 0000 00000,qal,impf,>CR NBW> >LJHN,,>LJHN,>L,to them (the cities),0,prep,prps,inanim,det,prsf,simple,factive,>L,,,,,,,
1891179,<LH[,1Q4,Deuteronomy,1,22,N<LH,DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,000 00 0 000 000 0000 00 0 00 0 0000 000 000 00000,qal,impf,>CR N<LH BH,,BH,B,in it (the way),0,prep,prps,inanim,det,prsf,simple,factive,B,,,,,,,
1891186,BW>[,1Q4,Deuteronomy,1,22,NB>,DBR >T H DRK >CR N<LH BH W >T H <RJM >CR NB> >LJHN,000 00 0 000 000 0000 00 0 00 0 0000 000 000 00000,qal,impf,>CR NB> >LJHN,,>LJHN,>L,to them (the cities),0,prep,prps,inanim,det,prsf,simple,factive,>L,,,,,,,
93303,PNH[,MT,Deuteronomy,1,24,JPNW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,,qal,wayq,W JPNW,,no complement,no complement,,,,,,,,,,,,,,,,,
93305,<LH[,MT,Deuteronomy,1,24,J<LW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,,qal,wayq,W J<LW H HRH,,H HRH,H HR/,into the hill country,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
93309,BW>[,MT,Deuteronomy,1,24,JB>W,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,,qal,wayq,W JB>W <D NXL >CKL,,<D NXL >CKL,<D NXL/ >CKL=/,to the valley of Eshcol,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
1986101,PNH[,4Q35,Deuteronomy,1,24,JPNW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 000 1,qal,wayq,W JPNW,,no complement,no complement,,,,,,,,,,,,,,,,,
1986103,<LH[,4Q35,Deuteronomy,1,24,J<LW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 000 1,qal,wayq,W J<LW H HRH,,H HRH,H HR/,into the hill country,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
1986107,BW>[,4Q35,Deuteronomy,1,24,JB>W,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW >TH,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 000 1,qal,wayq,W JB>W <D NXL >CKL,,<D NXL >CKL,<D NXL/ >CKL=/,to the valley of Eshcol,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
1891207,PNH[,1Q4,Deuteronomy,1,24,JPNW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 0 000,qal,wayq,W JPNW,,no complement,no complement,,,,,,,,,,,,,,,,,
1891209,<LH[,1Q4,Deuteronomy,1,24,J<LW,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 0 000,qal,wayq,W J<LW H HRH,,H HRH,H HR/,into the hill country,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
1891213,BW>[,1Q4,Deuteronomy,1,24,JB>W,W JPNW W J<LW H HRH W JB>W <D NXL >CKL W JRGLW H >RY,0 0000 0 0000 0 000 0 0000 00 000 0000 0 00000 0 000,qal,wayq,W JB>W <D NXL >CKL,,NXL >CKL,<D NXL/ >CKL=/,to the valley of Eshcol,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
93325,JRD[,MT,Deuteronomy,1,25,JWRDW,W JQXW B JDM M PRJ H >RY W JWRDW >LJNW W JCBW >TNW DBR W J>MRW VWBH H >RY >CR JHWH >LHJNW NTN LNW,,hif,wayq,W JWRDW >LJNW,,>LJNW,>L,to us (Moses and his people),0,prep,prps,anim,det,prsf,simple,factive,>L,,,,,,,
93328,CWB[,MT,Deuteronomy,1,25,JCBW,W JQXW B JDM M PRJ H >RY W JWRDW >LJNW W JCBW >TNW DBR W J>MRW VWBH H >RY >CR JHWH >LHJNW NTN LNW,,hif,wayq,W JCBW >TNW DBR,,no complement,no complement,,,,,,,,,,,,,,,,,
93345,<LH[,MT,Deuteronomy,1,26,<LT,W L> >BJTM L <LT W TMRW >T PJ JHWH >LHJKM,,qal,infc,L <LT,,no complement,no complement,,,,,,,,,,,,,,,,,
93362,JY>[,MT,Deuteronomy,1,27,HWYJ>NW,W TRGNW B >HLJKM W T>MRW B FN>T JHWH >TNW HWYJ>NW M >RY MYRJM L TT >TNW B JD H >MRJ L HCMJDNW,,hif,perf,B FN>T JHWH >TNW HWYJ>NW M >RY MYRJM,,M >RY MYRJM,MN >RY/ MYRJM/,out of the land of Egypt,0,prep,topo,inanim,det,subs,complex,factive,MN,,,,,,,
93377,<LH[,MT,Deuteronomy,1,28,<LJM,>NH >NXNW <LJM >XJNW HMSW >T LBBNW L >MR <M GDWL W RM MMNW <RJM GDLT W BYWRT B CMJM W GM BNJ <NQJM R>JNW CM,,qal,ptca,>NH >NXNW <LJM,>NXNW,no complement,no complement,,,,,,,,,,,,,,,,,
93414,HLK[,MT,Deuteronomy,1,30,HLK,JHWH >LHJKM H HLK L PNJKM HW> JLXM LKM K KL >CR <FH >TKM B MYRJM L <JNJKM,,qal,ptca,H HLK L PNJKM,,L PNJKM,L PNH/,before you (the people),0,prep,other,inanim,det,subs,complex,factive,L,,,,,,,
1986132,HLK[,4Q35,Deuteronomy,1,30,HLK,JHWH >LHJKM H HLK L PNJKM HW> JLXM LKM K KL >CR <FH >TKM B MYRJM L <JNJKM,0000 000000 0 000 0 00000 000 0000 000 0 00 000 000 0000 0 00000 0 000000,qal,ptca,H HLK L PNJKM,,L PNJKM,L PNH/,before you (the people),0,prep,other,inanim,det,subs,complex,factive,L,,,,,,,
93450,HLK[,MT,Deuteronomy,1,31,HLKTM,W B MDBR >CR R>JT >CR NF>K JHWH >LHJK K >CR JF> >JC >T BNW B KL H DRK >CR HLKTM <D B>KM <D H MQWM H ZH,,qal,perf,>CR HLKTM,,no complement,no complement,,,,,,,,,,,,,,,,,
93452,BW>[,MT,Deuteronomy,1,31,B>KM,W B MDBR >CR R>JT >CR NF>K JHWH >LHJK K >CR JF> >JC >T BNW B KL H DRK >CR HLKTM <D B>KM <D H MQWM H ZH,,qal,infc,<D B>KM <D H MQWM H ZH,,<D H MQWM H ZH,<D H MQWM/ H ZH,to this place,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
1986168,HLK[,4Q35,Deuteronomy,1,31,HLKTM,W B MDBR >CR R>JT >CR NF>K JHWH >LHJK K >CR JF> >JC >T BNW B KL H DRK >CR HLKTM <D B>KM <D H MQWM H ZH,0 0 0000 000 0000 000 0000 0000 00000 0 000 000 000 00 000 0 00 0 000 000 00000 00 0000 00 0 0000 0 00,qal,perf,>CR HLKTM,,no complement,no complement,,,,,,,,,,,,,,,,,
1986170,BW>[,4Q35,Deuteronomy,1,31,B>KM,W B MDBR >CR R>JT >CR NF>K JHWH >LHJK K >CR JF> >JC >T BNW B KL H DRK >CR HLKTM <D B>KM <D H MQWM H ZH,0 0 0000 000 0000 000 0000 0000 00000 0 000 000 000 00 000 0 00 0 000 000 00000 00 0000 00 0 0000 0 00,qal,infc,<D B>KM <D H MQWM H ZH,,<D H MQWM H ZH,<D H MQWM/ H ZH,to this place,0,prep,topo,inanim,det,subs,complex,factive,<D,,,,,,,
93470,HLK[,MT,Deuteronomy,1,33,HLK,H HLK L PNJKM B DRK L TWR LKM MQWM L XNTKM B >C LJLH L R>TKM B DRK >CR TLKW BH W B <NN JWMM,,qal,ptca,H HLK L PNJKM B DRK B >C LJLH,,L PNJKM,L PNH/,before / in front of you (the people),0,prep,prps,anim,det,subs,simple,factive,L,,,,,,,
93492,HLK[,MT,Deuteronomy,1,33,TLKW,H HLK L PNJKM B DRK L TWR LKM MQWM L XNTKM B >C LJLH L R>TKM B DRK >CR TLKW BH W B <NN JWMM,,qal,impf,>CR TLKW BH,,BH,B,in it (the way),0,prep,prps,inanim,det,prsf,simple,factive,B,,,,,,,
1986189,HLK[,4Q35,Deuteronomy,1,33,HLK,H HLK L PNJKM B DRK L TWR LKM MQWM L XNTKM B >C LJLH L HR>WT B DRK >CR TLKW BH W B <NN JWMM,0 000 0 00000 0 000 0 000 000 0000 0 00000 0 00 0000 0 00000 0 000 000 0000 00 0 0 000 0000,qal,ptca,H HLK L PNJKM B DRK B >C LJLH,,L PNJKM,L PNH/,before / in front of you (the people),0,prep,prps,anim,det,subs,simple,factive,L,,,,,,,
1986208,HLK[,4Q35,Deuteronomy,1,33,TLKW,H HLK L PNJKM B DRK L TWR LKM MQWM L XNTKM B >C LJLH L HR>WT B DRK >CR TLKW BH W B <NN JWMM,0 000 0 00000 0 000 0 000 000 0000 0 00000 0 00 0000 0 00000 0 000 000 0000 00 0 0 000 0000,qal,impf,>CR TLKW BH,,BH,B,in it (the way),0,prep,prps,inanim,det,prsf,simple,factive,B,,,,,,,
93570,BW>[,MT,Deuteronomy,1,37,TB>,GM BJ HT>NP JHWH B GLLKM L >MR GM >TH L> TB> CM,,qal,impf,GM >TH L> TB> CM,GM >TH,CM,CM,there,0,vc,adv,inanim,det,adv,simple,factive,,,,,,,,
1986288,BW>[,4Q35,Deuteronomy,1,37,TBW>,GM BJ HT>NP JHWH B GLLKM L >MR GM >TH L> TBW> CMH,00 00 00000 0000 0 00000 0 000 00 000 00 0000 000,qal,impf,GM >TH L> TBW> CMH,GM >TH,CMH,CM,there,1,dir-he,adv,inanim,det,adv,simple,factive,,,,,,,,
93580,BW>[,MT,Deuteronomy,1,38,JB>,JHWC< BN NWN H <MD L PNJK HW> JB> CMH >TW XZQ KJ HW> JNXLNH >T JFR>L,,qal,impf,HW> JB> CMH,HW>,CMH,CM,there,1,dir-he,adv,inanim,det,adv,simple,factive,,,,,,,,
1986299,BW>[,4Q35,Deuteronomy,1,38,JB>,JHWC< BN NWN H <MD L PNJK HW> JB> CMH >TW XZQ KJ HW> JNXLNH >T JFR>L,00000 00 000 0 000 0 0000 000 000 000 000 000 00 000 000000 00 00000,qal,impf,HW> JB> CMH,HW>,CMH,CM,there,1,dir-he,adv,inanim,det,adv,simple,factive,,,,,,,,
93607,BW>[,MT,Deuteronomy,1,39,JB>W,W VPKM >CR >MRTM L BZ JHJH W BNJKM >CR L> JD<W H JWM VWB W R< HMH JB>W CMH W LHM >TNNH W HM JJRCWH,,qal,impf,HMH JB>W CMH,HMH,CMH,CM,there,1,dir-he,adv,inanim,det,adv,simple,factive,,,,,,,,
93617,PNH[,MT,Deuteronomy,1,40,PNW,W >TM PNW LKM W S<W H MDBRH DRK JM SWP,,qal,impv,W >TM PNW LKM,>TM,no complement,no complement,,,,,,,,,,,,,,,,,
93620,NS<[,MT,Deuteronomy,1,40,S<W,W >TM PNW LKM W S<W H MDBRH DRK JM SWP,,qal,impv,W S<W H MDBRH DRK JM SWP,,H MDBRH,H MDBR/,into the wilderness,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
93635,<LH[,MT,Deuteronomy,1,41,N<LH,W T<NW W T>MRW >LJ XV>NW L JHWH >NXNW N<LH W NLXMNW K KL >CR YWNW JHWH >LHJNW W TXGRW >JC >T KLJ MLXMTW W THJNW L <LT H HRH,,qal,impf,N<LH,,no complement,no complement,,,,,,,,,,,,,,,,,
93653,<LH[,MT,Deuteronomy,1,41,<LT,W T<NW W T>MRW >LJ XV>NW L JHWH >NXNW N<LH W NLXMNW K KL >CR YWNW JHWH >LHJNW W TXGRW >JC >T KLJ MLXMTW W THJNW L <LT H HRH,,qal,infc,L <LT H HRH,,H HRH,H HR/,to the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
1986335,<LH[,4Q35,Deuteronomy,1,41,N<LH,W T<NW W T>MRW >LJ XV>NW L JHWH >NXNW N<LH W NLXMNW K KL >CR YWNW JHWH >LHJNW W TXGRW >JC >T KLJ MLXMTW W THJNW L <LT H HRH,1 0 0000 0 00000 000 00000 0 0000 00000 0000 0 000000 0 00 000 0000 0000 000000 0 00000 000 00 000 000000 0 00000 0 000 0 000,qal,impf,N<LH,,no complement,no complement,,,,,,,,,,,,,,,,,
1986353,<LH[,4Q35,Deuteronomy,1,41,<LT,W T<NW W T>MRW >LJ XV>NW L JHWH >NXNW N<LH W NLXMNW K KL >CR YWNW JHWH >LHJNW W TXGRW >JC >T KLJ MLXMTW W THJNW L <LT H HRH,1 0 0000 0 00000 000 00000 0 0000 00000 0000 0 000000 0 00 000 0000 0000 000000 0 00000 000 00 000 000000 0 00000 0 000 0 000,qal,infc,L <LT H HRH,,H HRH,H HR/,to the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
93663,<LH[,MT,Deuteronomy,1,42,T<LW,W J>MR JHWH >LJ >MR LHM L> T<LW W L> TLXMW KJ >JNNJ B QRBKM W L> TNGPW L PNJ >JBJKM,,qal,impf,L> T<LW,,no complement,no complement,,,,,,,,,,,,,,,,,
1986364,<LH[,4Q35,Deuteronomy,1,42,T<LW,W J>MR JHWH >LJ >MR LHM L> T<LW W L> TNGPW L PNJ >JBJKM,0 0000 0000 000 000 000 00 0000 1 0 00 00000 0 000 000000,qal,impf,L> T<LW,,no complement,no complement,,,,,,,,,,,,,,,,,
93691,<LH[,MT,Deuteronomy,1,43,T<LW,W >DBR >LJKM W L> CM<TM W TMRW >T PJ JHWH W TZDW W T<LW H HRH,,qal,wayq,W T<LW H HRH,,H HRH,H HR/,to the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
1986387,<LH[,4Q35,Deuteronomy,1,43,T<LW,W >DBR >LJKM W L> CM<TM W TMRW >T PJ JHWH W TZDW W T<LW H HRH,0 0000 00000 0 00 00000 0 0000 00 00 0000 0 0000 0 0000 0 000,qal,wayq,W T<LW H HRH,,H HRH,H HR/,to the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
93695,JY>[,MT,Deuteronomy,1,44,JY>,W JY> H >MRJ H JCB B HR H HW> L QR>TKM W JRDPW >TKM K >CR T<FJNH H DBRJM W JKTW >TKM B F<JR <D XRMH,,qal,wayq,W JY> H >MRJ,H >MRJ,no complement,no complement,,,,,,,,,,,,,,,,,
1986392,JY>[,4Q35,Deuteronomy,1,44,JY>,W JY> H >MRJ H JCB B HR H HW> L QR>TKM W JRDPW >TKM K >CR T<FJNH H DBRJM W JKTW >TKM B F<JR <D H XRMH,0 000 0 0000 0 000 0 00 0 000 0 000000 0 00000 0000 0 000 000000 0 00000 0 0000 0000 0 0000 00 0 0000,qal,wayq,W JY> H >MRJ,H >MRJ,no complement,no complement,,,,,,,,,,,,,,,,,
93723,CWB[,MT,Deuteronomy,1,45,TCBW,W TCBW W TBKW L PNJ JHWH W L> CM< JHWH B QLKM W L> H>ZJN >LJKM,,qal,wayq,W TCBW,,no complement,no complement,,,,,,,,,,,,,,,,,
2090681,<LH[,Mur2,Deuteronomy,10,1,<LH,B <T H HW> >MR JHWH >LJ PSL LK CNJ LWXT >BNJM K R>CNJM W <LH >LJ H HRH W <FJT LK >RWN <Y,0 00 0 000 000 0000 000 000 00 000 0000 00000 0 000000 0 000 000 0 000 0 0000 00 0000 00,qal,impv,W <LH >LJ H HRH,,>LJ,>L,to me (Yahweh),0,prep,prps,anim,det,prsf,simple,factive,,,,,,,,
2090681,<LH[,Mur2,Deuteronomy,10,1,<LH,B <T H HW> >MR JHWH >LJ PSL LK CNJ LWXT >BNJM K R>CNJM W <LH >LJ H HRH W <FJT LK >RWN <Y,0 00 0 000 000 0000 000 000 00 000 0000 00000 0 000000 0 000 000 0 000 0 0000 00 0000 00,qal,impv,W <LH >LJ H HRH,,H HRH,H HR/,on the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
99133,<LH[,MT,Deuteronomy,10,1,<LH,B <T H HW> >MR JHWH >LJ PSL LK CNJ LWXT >BNJM K R>CNJM W <LH >LJ H HRH W <FJT LK >RWN <Y,,qal,impv,W <LH >LJ H HRH,,>LJ,H HR/,on the mountain,0,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
99133,<LH[,MT,Deuteronomy,10,1,<LH,B <T H HW> >MR JHWH >LJ PSL LK CNJ LWXT >BNJM K R>CNJM W <LH >LJ H HRH W <FJT LK >RWN <Y,,qal,impv,W <LH >LJ H HRH,,H HRH,H HR/,on the mountain,1,dir-he,topo,inanim,det,subs,simple,factive,,,,,,,,
1979845,<LH[,4Q30,Deuteronomy,10,1,<LH,B <T H HW> >MR JHWH >LJ PSL LK CNJ LWXT >BNJM H R>CWNJM W <LH >LJ H HRH W <FJT LK >RWN <Y,0 00 0 000 000 0000 000 000 00 000 0000 00000 0 0000000 0 000 000 0 000 0 0000 00 0000 00,qal,impv,W <LH >LJ H HRH,,>LJ,>L,to me (Yahweh),0,prep,prps,anim,det,prsf,simple,factive,,,,,,,,
