,verb_id,book,chapter,verse_num,verse_heb,verb_heb,clause_heb,cmpl_heb
11,212577,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,נַעֲלֶ֣ה ,וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב ,אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב 
12,212590,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,נֵלְכָ֖ה ,וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו ,בְּאֹרְחֹתָ֑יו 
13,212596,Isaiah,2,3,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ ,תֵּצֵ֣א ,כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה ,מִצִּיֹּון֙ 
14,212635,Isaiah,2,5,בֵּ֖ית יַעֲקֹ֑ב לְכ֥וּ וְנֵלְכָ֖ה בְּאֹ֥ור יְהוָֽה׃ ,לְכ֥וּ ,לְכ֥וּ ,
15,212637,Isaiah,2,5,בֵּ֖ית יַעֲקֹ֑ב לְכ֥וּ וְנֵלְכָ֖ה בְּאֹ֥ור יְהוָֽה׃ ,נֵלְכָ֖ה ,וְנֵלְכָ֖ה בְּאֹ֥ור יְהוָֽה׃ ,בְּאֹ֥ור יְהוָֽה׃ 
16,212702,Isaiah,2,10,בֹּ֣וא בַצּ֔וּר וְהִטָּמֵ֖ן בֶּֽעָפָ֑ר מִפְּנֵי֙ פַּ֣חַד יְהוָ֔ה וּמֵהֲדַ֖ר גְּאֹנֹֽו׃ ,בֹּ֣וא ,בֹּ֣וא בַצּ֔וּר ,בַצּ֔וּר 
17,212830,Isaiah,2,19,וּבָ֨אוּ֙ בִּמְעָרֹ֣ות צֻרִ֔ים וּבִמְחִלֹּ֖ות עָפָ֑ר מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו בְּקוּמֹ֖ו לַעֲרֹ֥ץ הָאָֽרֶץ׃ ,בָ֨אוּ֙ ,וּבָ֨אוּ֙ בִּמְעָרֹ֣ות צֻרִ֔ים וּבִמְחִלֹּ֖ות עָפָ֑ר מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו ,בִּמְעָרֹ֣ות צֻרִ֔ים וּבִמְחִלֹּ֖ות עָפָ֑ר 
18,212857,Isaiah,2,20,בַּיֹּ֤ום הַהוּא֙ יַשְׁלִ֣יךְ הָאָדָ֔ם אֵ֚ת אֱלִילֵ֣י כַסְפֹּ֔ו וְאֵ֖ת אֱלִילֵ֣י זְהָבֹ֑ו אֲשֶׁ֤ר עָֽשׂוּ־לֹו֙ לְהִֽשְׁתַּחֲוֹ֔ת לַחְפֹּ֥ר פֵּרֹ֖ות וְלָעֲטַלֵּפִֽים׃ ,יַשְׁלִ֣יךְ ,בַּיֹּ֤ום הַהוּא֙ יַשְׁלִ֣יךְ הָאָדָ֔ם אֵ֚ת אֱלִילֵ֣י כַסְפֹּ֔ו וְאֵ֖ת אֱלִילֵ֣י זְהָבֹ֑ו ,
19,212880,Isaiah,2,21,לָבֹוא֙ בְּנִקְרֹ֣ות הַצֻּרִ֔ים וּבִסְעִפֵ֖י הַסְּלָעִ֑ים מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו בְּקוּמֹ֖ו לַעֲרֹ֥ץ הָאָֽרֶץ׃ ,בֹוא֙ ,לָבֹוא֙ בְּנִקְרֹ֣ות הַצֻּרִ֔ים וּבִסְעִפֵ֖י הַסְּלָעִ֑ים מִפְּנֵ֞י פַּ֤חַד יְהוָה֙ וּמֵהֲדַ֣ר גְּאֹונֹ֔ו ,בְּנִקְרֹ֣ות הַצֻּרִ֔ים וּבִסְעִפֵ֖י הַסְּלָעִ֑ים 
20,212924,Isaiah,3,1,כִּי֩ הִנֵּ֨ה הָאָדֹ֜ון יְהוָ֣ה צְבָאֹ֗ות מֵסִ֤יר מִירוּשָׁלִַ֨ם֙ וּמִ֣יהוּדָ֔ה מַשְׁעֵ֖ן וּמַשְׁעֵנָ֑ה כֹּ֚ל מִשְׁעַן־לֶ֔חֶם וְכֹ֖ל מִשְׁעַן־מָֽיִם׃ ,מֵסִ֤יר ,כִּי֩ הִנֵּ֨ה הָאָדֹ֜ון יְהוָ֣ה צְבָאֹ֗ות מֵסִ֤יר מִירוּשָׁלִַ֨ם֙ וּמִ֣יהוּדָ֔ה מַשְׁעֵ֖ן וּמַשְׁעֵנָ֑ה כֹּ֚ל מִשְׁעַן־לֶ֔חֶם וְכֹ֖ל מִשְׁעַן־מָֽיִם׃ ,מִירוּשָׁלִַ֨ם֙ וּמִ֣יהוּדָ֔ה 
21,213042,Isaiah,3,8,כִּ֤י כָשְׁלָה֙ יְר֣וּשָׁלִַ֔ם וִיהוּדָ֖ה נָפָ֑ל כִּֽי־לְשֹׁונָ֤ם וּמַֽעַלְלֵיהֶם֙ אֶל־יְהוָ֔ה לַמְרֹ֖ות עֵנֵ֥י כְבֹודֹֽו׃ ,נָפָ֑ל ,וִיהוּדָ֖ה נָפָ֑ל ,
22,213114,Isaiah,3,14,יְהוָה֙ בְּמִשְׁפָּ֣ט יָבֹ֔וא עִם־זִקְנֵ֥י עַמֹּ֖ו וְשָׂרָ֑יו וְאַתֶּם֙ בִּֽעַרְתֶּ֣ם הַכֶּ֔רֶם גְּזֵלַ֥ת הֶֽעָנִ֖י בְּבָתֵּיכֶֽם׃ ,יָבֹ֔וא ,יְהוָה֙ בְּמִשְׁפָּ֣ט יָבֹ֔וא עִם־זִקְנֵ֥י עַמֹּ֖ו וְשָׂרָ֑יו ,בְּמִשְׁפָּ֣ט 
23,213114,Isaiah,3,14,יְהוָה֙ בְּמִשְׁפָּ֣ט יָבֹ֔וא עִם־זִקְנֵ֥י עַמֹּ֖ו וְשָׂרָ֑יו וְאַתֶּם֙ בִּֽעַרְתֶּ֣ם הַכֶּ֔רֶם גְּזֵלַ֥ת הֶֽעָנִ֖י בְּבָתֵּיכֶֽם׃ ,יָבֹ֔וא ,יְהוָה֙ בְּמִשְׁפָּ֣ט יָבֹ֔וא עִם־זִקְנֵ֥י עַמֹּ֖ו וְשָׂרָ֑יו ,עִם־זִקְנֵ֥י עַמֹּ֖ו וְשָׂרָ֑יו 
24,213151,Isaiah,3,16,וַיֹּ֣אמֶר יְהוָ֗ה יַ֚עַן כִּ֤י גָֽבְהוּ֙ בְּנֹ֣ות צִיֹּ֔ון וַתֵּלַ֨כְנָה֙ נְטוּיֹ֣ות גָּרֹ֔ון וּֽמְשַׂקְּרֹ֖ות עֵינָ֑יִם הָלֹ֤וךְ וְטָפֹף֙ תֵּלַ֔כְנָה וּבְרַגְלֵיהֶ֖ם תְּעַכַּֽסְנָה׃ ,תֵּלַ֨כְנָה֙ ,וַתֵּלַ֨כְנָה֙ נְטוּיֹ֣ות גָּרֹ֔ון וּֽמְשַׂקְּרֹ֖ות עֵינָ֑יִם ,
25,213157,Isaiah,3,16,וַיֹּ֣אמֶר יְהוָ֗ה יַ֚עַן כִּ֤י גָֽבְהוּ֙ בְּנֹ֣ות צִיֹּ֔ון וַתֵּלַ֨כְנָה֙ נְטוּיֹ֣ות גָּרֹ֔ון וּֽמְשַׂקְּרֹ֖ות עֵינָ֑יִם הָלֹ֤וךְ וְטָפֹף֙ תֵּלַ֔כְנָה וּבְרַגְלֵיהֶ֖ם תְּעַכַּֽסְנָה׃ ,הָלֹ֤וךְ ,הָלֹ֤וךְ וְטָפֹף֙ תֵּלַ֔כְנָה ,
26,213160,Isaiah,3,16,וַיֹּ֣אמֶר יְהוָ֗ה יַ֚עַן כִּ֤י גָֽבְהוּ֙ בְּנֹ֣ות צִיֹּ֔ון וַתֵּלַ֨כְנָה֙ נְטוּיֹ֣ות גָּרֹ֔ון וּֽמְשַׂקְּרֹ֖ות עֵינָ֑יִם הָלֹ֤וךְ וְטָפֹף֙ תֵּלַ֔כְנָה וּבְרַגְלֵיהֶ֖ם תְּעַכַּֽסְנָה׃ ,תֵּלַ֔כְנָה ,הָלֹ֤וךְ וְטָפֹף֙ תֵּלַ֔כְנָה ,
27,213180,Isaiah,3,18,בַּיֹּ֨ום הַה֜וּא יָסִ֣יר אֲדֹנָ֗י אֵ֣ת תִּפְאֶ֧רֶת הָעֲכָסִ֛ים וְהַשְּׁבִיסִ֖ים וְהַשַּׂהֲרֹנִֽים׃ ,יָסִ֣יר ,בַּיֹּ֨ום הַה֜וּא יָסִ֣יר אֲדֹנָ֗י אֵ֣ת תִּפְאֶ֧רֶת הָעֲכָסִ֛ים וְהַשְּׁבִיסִ֖ים וְהַשַּׂהֲרֹנִֽים׃ ,
28,213271,Isaiah,3,25,מְתַ֖יִךְ בַּחֶ֣רֶב יִפֹּ֑לוּ וּגְבוּרָתֵ֖ךְ בַּמִּלְחָמָֽה׃ ,יִפֹּ֑לוּ ,מְתַ֖יִךְ בַּחֶ֣רֶב יִפֹּ֑לוּ ,
29,213311,Isaiah,4,1,וְהֶחֱזִיקוּ֩ שֶׁ֨בַע נָשִׁ֜ים בְּאִ֣ישׁ אֶחָ֗ד בַּיֹּ֤ום הַהוּא֙ לֵאמֹ֔ר לַחְמֵ֣נוּ נֹאכֵ֔ל וְשִׂמְלָתֵ֖נוּ נִלְבָּ֑שׁ רַ֗ק יִקָּרֵ֤א שִׁמְךָ֙ עָלֵ֔ינוּ אֱסֹ֖ף חֶרְפָּתֵֽנוּ׃ ס ,אֱסֹ֖ף ,אֱסֹ֖ף חֶרְפָּתֵֽנוּ׃ ס ,
30,213508,Isaiah,5,5,וְעַתָּה֙ אֹודִֽיעָה־נָּ֣א אֶתְכֶ֔ם אֵ֛ת אֲשֶׁר־אֲנִ֥י עֹשֶׂ֖ה לְכַרְמִ֑י הָסֵ֤ר מְשׂוּכָּתֹו֙ וְהָיָ֣ה לְבָעֵ֔ר פָּרֹ֥ץ גְּדֵרֹ֖ו וְהָיָ֥ה לְמִרְמָֽס׃ ,הָסֵ֤ר ,הָסֵ֤ר מְשׂוּכָּתֹו֙ ,
31,213529,Isaiah,5,6,וַאֲשִׁיתֵ֣הוּ בָתָ֗ה לֹ֤א יִזָּמֵר֙ וְלֹ֣א יֵעָדֵ֔ר וְעָלָ֥ה שָׁמִ֖יר וָשָׁ֑יִת וְעַ֤ל הֶעָבִים֙ אֲצַוֶּ֔ה מֵהַמְטִ֥יר עָלָ֖יו מָטָֽר׃ ,עָלָ֥ה ,וְעָלָ֥ה שָׁמִ֖יר וָשָׁ֑יִת ,
32,213573,Isaiah,5,8,הֹ֗וי מַגִּיעֵ֥י בַ֨יִת֙ בְּבַ֔יִת שָׂדֶ֥ה בְשָׂדֶ֖ה יַקְרִ֑יבוּ עַ֚ד אֶ֣פֶס מָקֹ֔ום וְהֽוּשַׁבְתֶּ֥ם לְבַדְּכֶ֖ם בְּקֶ֥רֶב הָאָֽרֶץ׃ ,יַקְרִ֑יבוּ ,שָׂדֶ֥ה בְשָׂדֶ֖ה יַקְרִ֑יבוּ עַ֚ד אֶ֣פֶס מָקֹ֔ום ,בְשָׂדֶ֖ה 
33,213650,Isaiah,5,13,לָכֵ֛ן גָּלָ֥ה עַמִּ֖י מִבְּלִי־דָ֑עַת וּכְבֹודֹו֙ מְתֵ֣י רָעָ֔ב וַהֲמֹונֹ֖ו צִחֵ֥ה צָמָֽא׃ ,גָּלָ֥ה ,לָכֵ֛ן גָּלָ֥ה עַמִּ֖י מִבְּלִי־דָ֑עַת ,
34,213674,Isaiah,5,14,לָכֵ֗ן הִרְחִ֤יבָה שְּׁאֹול֙ נַפְשָׁ֔הּ וּפָעֲרָ֥ה פִ֖יהָ לִבְלִי־חֹ֑ק וְיָרַ֨ד הֲדָרָ֧הּ וַהֲמֹונָ֛הּ וּשְׁאֹונָ֖הּ וְעָלֵ֥ז בָּֽהּ׃ ,יָרַ֨ד ,וְיָרַ֨ד הֲדָרָ֧הּ וַהֲמֹונָ֛הּ וּשְׁאֹונָ֖הּ וְעָלֵ֥ז בָּֽהּ׃ ,
35,213740,Isaiah,5,19,הָאֹמְרִ֗ים יְמַהֵ֧ר׀ יָחִ֛ישָׁה מַעֲשֵׂ֖הוּ לְמַ֣עַן נִרְאֶ֑ה וְתִקְרַ֣ב וְתָבֹ֗ואָה עֲצַ֛ת קְדֹ֥ושׁ יִשְׂרָאֵ֖ל וְנֵדָֽעָה׃ ס ,תִקְרַ֣ב ,וְתִקְרַ֣ב ,
36,213742,Isaiah,5,19,הָאֹמְרִ֗ים יְמַהֵ֧ר׀ יָחִ֛ישָׁה מַעֲשֵׂ֖הוּ לְמַ֣עַן נִרְאֶ֑ה וְתִקְרַ֣ב וְתָבֹ֗ואָה עֲצַ֛ת קְדֹ֥ושׁ יִשְׂרָאֵ֖ל וְנֵדָֽעָה׃ ס ,תָבֹ֗ואָה ,וְתָבֹ֗ואָה עֲצַ֛ת קְדֹ֥ושׁ יִשְׂרָאֵ֖ל ,
37,213802,Isaiah,5,23,מַצְדִּיקֵ֥י רָשָׁ֖ע עֵ֣קֶב שֹׁ֑חַד וְצִדְקַ֥ת צַדִּיקִ֖ים יָסִ֥ירוּ מִמֶּֽנּוּ׃ ס ,יָסִ֥ירוּ ,וְצִדְקַ֥ת צַדִּיקִ֖ים יָסִ֥ירוּ מִמֶּֽנּוּ׃ ס ,
38,213824,Isaiah,5,24,לָכֵן֩ כֶּאֱכֹ֨ל קַ֜שׁ לְשֹׁ֣ון אֵ֗שׁ וַחֲשַׁ֤שׁ לֶֽהָבָה֙ יִרְפֶּ֔ה שָׁרְשָׁם֙ כַּמָּ֣ק יִֽהְיֶ֔ה וּפִרְחָ֖ם כָּאָבָ֣ק יַעֲלֶ֑ה כִּ֣י מָאֲס֗וּ אֵ֚ת תֹּורַת֙ יְהוָ֣ה צְבָאֹ֔ות וְאֵ֛ת אִמְרַ֥ת קְדֹֽושׁ־יִשְׂרָאֵ֖ל נִאֵֽצוּ׃ ,יַעֲלֶ֑ה ,וּפִרְחָ֖ם כָּאָבָ֣ק יַעֲלֶ֑ה ,
39,213867,Isaiah,5,25,עַל־כֵּ֡ן חָרָה֩ אַף־יְהוָ֨ה בְּעַמֹּ֜ו וַיֵּ֣ט יָדֹ֧ו עָלָ֣יו וַיַּכֵּ֗הוּ וַֽיִּרְגְּזוּ֙ הֶֽהָרִ֔ים וַתְּהִ֧י נִבְלָתָ֛ם כַּסּוּחָ֖ה בְּקֶ֣רֶב חוּצֹ֑ות בְּכָל־זֹאת֙ לֹא־שָׁ֣ב אַפֹּ֔ו וְעֹ֖וד יָדֹ֥ו נְטוּיָֽה׃ ,שָׁ֣ב ,בְּכָל־זֹאת֙ לֹא־שָׁ֣ב אַפֹּ֔ו ,
40,213892,Isaiah,5,26,וְנָֽשָׂא־נֵ֤ס לַגֹּויִם֙ מֵרָחֹ֔וק וְשָׁ֥רַק לֹ֖ו מִקְצֵ֣ה הָאָ֑רֶץ וְהִנֵּ֥ה מְהֵרָ֖ה קַ֥ל יָבֹֽוא׃ ,יָבֹֽוא׃ ,וְהִנֵּ֥ה מְהֵרָ֖ה קַ֥ל יָבֹֽוא׃ ,
41,214093,Isaiah,6,6,וַיָּ֣עָף אֵלַ֗י אֶחָד֙ מִן־הַשְּׂרָפִ֔ים וּבְיָדֹ֖ו רִצְפָּ֑ה בְּמֶ֨לְקַחַ֔יִם לָקַ֖ח מֵעַ֥ל הַמִּזְבֵּֽחַ׃ ,לָקַ֖ח ,בְּמֶ֨לְקַחַ֔יִם לָקַ֖ח מֵעַ֥ל הַמִּזְבֵּֽחַ׃ ,מֵעַ֥ל הַמִּזְבֵּֽחַ׃ 
42,214110,Isaiah,6,7,וַיַּגַּ֣ע עַל־פִּ֔י וַיֹּ֕אמֶר הִנֵּ֛ה נָגַ֥ע זֶ֖ה עַל־שְׂפָתֶ֑יךָ וְסָ֣ר עֲוֹנֶ֔ךָ וְחַטָּאתְךָ֖ תְּכֻפָּֽר׃ ,סָ֣ר ,וְסָ֣ר עֲוֹנֶ֔ךָ ,
43,214123,Isaiah,6,8,וָאֶשְׁמַ֞ע אֶת־קֹ֤ול אֲדֹנָי֙ אֹמֵ֔ר אֶת־מִ֥י אֶשְׁלַ֖ח וּמִ֣י יֵֽלֶךְ־לָ֑נוּ וָאֹמַ֖ר הִנְנִ֥י שְׁלָחֵֽנִי׃ ,אֶשְׁלַ֖ח ,אֶת־מִ֥י אֶשְׁלַ֖ח ,
44,214126,Isaiah,6,8,וָאֶשְׁמַ֞ע אֶת־קֹ֤ול אֲדֹנָי֙ אֹמֵ֔ר אֶת־מִ֥י אֶשְׁלַ֖ח וּמִ֣י יֵֽלֶךְ־לָ֑נוּ וָאֹמַ֖ר הִנְנִ֥י שְׁלָחֵֽנִי׃ ,יֵֽלֶךְ־,וּמִ֣י יֵֽלֶךְ־לָ֑נוּ ,
45,214131,Isaiah,6,8,וָאֶשְׁמַ֞ע אֶת־קֹ֤ול אֲדֹנָי֙ אֹמֵ֔ר אֶת־מִ֥י אֶשְׁלַ֖ח וּמִ֣י יֵֽלֶךְ־לָ֑נוּ וָאֹמַ֖ר הִנְנִ֥י שְׁלָחֵֽנִי׃ ,שְׁלָחֵֽנִי׃ ,שְׁלָחֵֽנִי׃ ,
46,214134,Isaiah,6,9,וַיֹּ֕אמֶר לֵ֥ךְ וְאָמַרְתָּ֖ לָעָ֣ם הַזֶּ֑ה שִׁמְע֤וּ שָׁמֹ֨ועַ֙ וְאַל־תָּבִ֔ינוּ וּרְא֥וּ רָאֹ֖ו וְאַל־תֵּדָֽעוּ׃ ,לֵ֥ךְ ,לֵ֥ךְ ,
47,214177,Isaiah,6,10,הַשְׁמֵן֙ לֵב־הָעָ֣ם הַזֶּ֔ה וְאָזְנָ֥יו הַכְבֵּ֖ד וְעֵינָ֣יו הָשַׁ֑ע פֶּן־יִרְאֶ֨ה בְעֵינָ֜יו וּבְאָזְנָ֣יו יִשְׁמָ֗ע וּלְבָבֹ֥ו יָבִ֛ין וָשָׁ֖ב וְרָ֥פָא לֹֽו׃ ,שָׁ֖ב ,וָשָׁ֖ב ,
48,214225,Isaiah,6,13,וְעֹ֥וד בָּהּ֙ עֲשִׂ֣רִיָּ֔ה וְשָׁ֖בָה וְהָיְתָ֣ה לְבָעֵ֑ר כָּאֵלָ֣ה וְכָאַלֹּ֗ון אֲשֶׁ֤ר בְּשַׁלֶּ֨כֶת֙ מַצֶּ֣בֶת בָּ֔ם זֶ֥רַע קֹ֖דֶשׁ מַצַּבְתָּֽהּ׃ פ ,שָׁ֖בָה ,וְשָׁ֖בָה ,
49,214256,Isaiah,7,1,וַיְהִ֡י בִּימֵ֣י אָ֠חָז בֶּן־יֹותָ֨ם בֶּן־עֻזִּיָּ֜הוּ מֶ֣לֶךְ יְהוּדָ֗ה עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ וְלֹ֥א יָכֹ֖ל לְהִלָּחֵ֥ם עָלֶֽיהָ׃ ,עָלָ֣ה ,עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ ,יְר֣וּשָׁלִַ֔ם 
50,214306,Isaiah,7,3,וַיֹּ֣אמֶר יְהוָה֮ אֶֽל־יְשַׁעְיָהוּ֒ צֵא־נָא֙ לִקְרַ֣את אָחָ֔ז אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ,צֵא־,צֵא־נָא֙ אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ,
51,214368,Isaiah,7,6,נַעֲלֶ֤ה בִֽיהוּדָה֙ וּנְקִיצֶ֔נָּה וְנַבְקִעֶ֖נָּה אֵלֵ֑ינוּ וְנַמְלִ֥יךְ מֶ֨לֶךְ֙ בְּתֹוכָ֔הּ אֵ֖ת בֶּן־טָֽבְאַֽל׃ ס ,נַעֲלֶ֤ה ,נַעֲלֶ֤ה בִֽיהוּדָה֙ ,בִֽיהוּדָה֙ 
