"verb_id","lex","scroll","book_canonical","text_unit","chapter","verse_num","gcons_verb","gcons_verse","sign_info","stem","tense","gcons_clause","subject","complement","cmpl_lex","cmpl_translation","dir_he","cmpl_constr","cmpl_nt","cmpl_anim","cmpl_det","cmpl_indiv","cmpl_complex","motion_type","spatial_arg_type","preposition_1","preposition_2","preposition_3","preposition_4","preposition_5","preposition_6","comments","reconstructed_verse","study_edition","verse_genre","verse_language","era_style","book_scroll","cmpl_syntax"
225696,"<LH[","MT","Isaiah","2_Isaiah",40,9,"<LJ","<L HR GBH <LJ LK MBFRT YJWN HRJMJ B KX QWLK MBFRT JRWCLM HRJMJ >L TJR>J >MRJ L <RJ JHWDH HNH >LHJKM",NA,"qal","impv","<L HR GBH <LJ LK",NA,"<L HR GBH","<L HR/ GBH/","to a high mountain",0,"prep","place","inanim","und","subs","complex","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","other","Isaiah_MT","prepositional"
1909147,"<LH[","1Qisaa","Isaiah","2_Isaiah",40,9,"<LJ","<L HR GBH <LJ LKJ MBFRT YJWN HRJMJ B KWX QWLK MBFRT JRWCLJM HRJMJ >L TJR>J >MWRJ L <RJ JHWDH HNH >LWHHKMH","00 00 000 000 000 00000 0000 00000 0 000 0000 00000 0000000 00000 00 00000 00000 0 000 00000 000 00000000","qal","impv","<L HR GBH <LJ LKJ",NA,"<L HR GBH","<L HR/ GBH/","to a high mountain",0,"prep","place","inanim","und","subs","complex","factive","goal","<L",NA,NA,NA,NA,NA,NA,"<L HR GBH <LJ LKJ MBFRT YJWN HRJMJ B KWX QWLK MBFRT JRWCLJM HRJMJ >L TJR>J >MWRJ L <RJ JHWDH HNH >LWHHKMH",NA,"prophetic","Hebrew","other","Isaiah_1Qisaa","prepositional"
232056,"BW>[","MT","Isaiah","2_Isaiah",58,7,"TBJ>","H LW> PRS L R<B LXMK W <NJJM MRWDJM TBJ> BJT KJ TR>H <RM W KSJTW W M BFRK L> TT<LM",NA,"hif","impf","W <NJJM MRWDJM TBJ> BJT",NA,"BJT","BJT/","to a house",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","other","Isaiah_MT","non-prepositional"
1915881,"BW>[","1Qisaa","Isaiah","2_Isaiah",58,7,"TBJ>","H LW> PRWS L R<B LXMKH W <NWJJM MRWDJM TBJ> BJT KJ> TR>H <RWM W KSJTW BGD W M BFRKH LW> TT<L","0 000 0000 0 000 00000 0 000000 000000 0000 000 000 0000 0000 0 00000 000 0 0 00000 000 0000","hifil","impf","W <NWJJM MRWDJM TBJ> BJT",NA,"BJT","BJT/","to a house",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,"H LW> PRWS L R<B LXMKH W <NWJJM MRWDJM TBJ> BJT KJ> TR>H <RWM W KSJTW BGD W M BFRKH LW> TT<L",NA,"prophetic","Hebrew","other","Isaiah_1Qisaa","non-prepositional"
1925476,"BW>[","1Q8","Isaiah","2_Isaiah",58,7,"TBJ>","H LW> PRWS L R<B LXMK <NJJM MRDJM TBJ> BJT KJ TR>H <RWM W KSJTW W M BFRK L> TT<LM","0 000 0000 0 000 0000 00000 00000 0000 000 00 0000 0000 0 00000 0 0 0000 00 00000","hifil","impf","<NJJM MRDJM TBJ> BJT",NA,"BJT","BJT/","to a house",0,"vc","place","inanim","und","subs","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,"H LW> PRWS L R<B LXMK <NJJM MRDJM TBJ> BJT KJ TR>H <RWM W KSJTW W M BFRK L> TT<LM",NA,"prophetic","Hebrew","other","Isaiah_1Q8","non-prepositional"
212418,"BW>[","MT","Isaiah","1_Isaiah",1,23,"JBW>","FRJK SWRRJM W XBRJ GNBJM KLW >HB CXD W RDP CLMNJM JTWM L> JCPVW W RJB >LMNH L> JBW> >LJHM",NA,"qal","impf","W RJB >LMNH L> JBW> >LJHM","RJB >LMNH",">LJHM",">L","to them",0,"prep","group","anim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895234,"BW>[","1Qisaa","Isaiah","1_Isaiah",1,23,"JBW>","FRJKJ SWRRJM W XBRJ GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCPVW W RJB >LMNH LW> JBW> >LJHM","00000 011111 1 1111 00000 0000 00000 0000 00000 0000000 00000 000 00011 1 111 00000 000 0000 00000","qal","impf","W RJB >LMNH LW> JBW> >LJHM","RJB >LMNH",">LJHM",">L","to them",0,"prep","group","anim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,"FRJKJ S[WRRJM W XBRJ] GNBJM KWLM >WHBJ CWXD RWDPJ CLMWNJM J>TWM LW> JCP[VW W RJB] >LMNH LW> JBW> >LJHM",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
212437,"CWB[","MT","Isaiah","1_Isaiah",1,25,">CJBH","W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK",NA,"hif","impf","W >CJBH JDJ <LJK",NA,"<LJK","<L","upon you",0,"prep","person","anim","det","prsf","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895257,"CWB[","1Qisaa","Isaiah","1_Isaiah",1,25,"HCJB","W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK","0 0000 000 0000 0 0011 1 11 00000 0 0000 000 000000","hifil","perf","W HCJB JDJ <LJK",NA,"<LJK","<L","upon you",0,"prep","person","anim","det","prsf","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,"W HCJB JDJ <LJK W >Y[RP K BR] SWGJK W >SJR KWL BDJLJK",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
212564,"NHR[","MT","Isaiah","1_Isaiah",2,2,"NHRW","W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM",NA,"qal","perf","W NHRW >LJW KL H GWJM","KL H GWJM",">LJW",">L","to him / it",0,"prep","place","inanim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895388,"NHR[","1Qisaa","Isaiah","1_Isaiah",2,2,"NHRW","W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM","0 000 0 00000 0 0000 0000 0000 00 000 0000 0 000 0000 0 000 0 00000 0 0000 00000 000 0 00000","qal","perf","W NHRW <LWHJ KWL H GW>JM","KWL H GW>JM","<LWHJ",">L","to him / it",0,"prep","place","inanim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,"W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
212577,"<LH[","MT","Isaiah","1_Isaiah",2,3,"N<LH","W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM",NA,"qal","impf","W N<LH >L HR JHWH >L BJT >LHJ J<QB",NA,">L HR JHWH >L BJT >LHJ J<QB",">L HR/ JHWH/ >L BJT/ >LHJM/ J<QB/","to the mountain of Yahwe to the house of the God of Jacob",0,"prep","place","inanim","det","subs","complex","factive","goal",">L",">L",NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895402,"<LH[","1Qisaa","Isaiah","1_Isaiah",2,3,"N<LH","W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM","0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 00000 0 00000 0 00000 0 0000000 000 0 0000 000 0000 0 000 0000 0 0000000","qal","impf","W N<LH >L BJT >LWHJ J<QWB",NA,">L BJT >LWHJ J<QWB",">L BJT/ >LHJM/ J<QB/","to the house of the God of Jacob",0,"prep","place","inanim","det","subs","complex","factive","goal",">L",NA,NA,NA,NA,NA,NA,"W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
212702,"BW>[","MT","Isaiah","1_Isaiah",2,10,"BW>","BW> B YWR W HVMN B <PR M PNJ PXD JHWH W M HDR G>NW",NA,"qal","impv","BW> B YWR",NA,"B YWR","B H YWR/","in the rock",0,"prep","place","inanim","det","subs","simple","factive","goal","B",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
212880,"BW>[","MT","Isaiah","1_Isaiah",2,21,"BW>","L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY",NA,"qal","infc","L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW",NA,"B NQRWT H YRJM W B S<PJ H SL<JM","B NQRH/ H YWR/ W B S<JP/ H SL</","in the caverns of the rocks and in the clefts of the cliffs",0,"prep","place","inanim","det","subs","complex","factive","goal","B","B",NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1895697,"BW>[","1Qisaa","Isaiah","1_Isaiah",2,21,"BW>","L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY","0 000 0 00000 1 11111 1 1 0000 0 00000 0 000 000 0000 0 0 000 00000 0 0000 0 0000 0 000","qal","infc","L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW",NA,"B NQRWT H YWRJM W B S<PJ H SL<JM","B NQRH/ H YWR/ W B S<JP/ H SL</","in the caverns of the rocks and in the clefts of the cliffs",0,"prep","place","inanim","det","subs","complex","factive","goal","B","B",NA,NA,NA,NA,NA,"L BW> B NQRWT [H YWRJM W B] S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
214081,"<WP[","MT","Isaiah","1_Isaiah",6,6,"J<P","W J<P >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZBX",NA,"qal","wayq","W J<P >LJ >XD MN H FRPJM",">XD MN H FRPJM",">LJ",">L","to me",0,"prep","person","anim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1896924,"<WP[","1Qisaa","Isaiah","1_Isaiah",6,6,"J<WP","W J<WP >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZBX","0 0000 000 000 00 0 00000 0 0 000 0000 0 000000 000 0 00 0 0010","qal","wayy","W J<WP >LJ >XD MN H FRPJM",">XD MN H FRPJM",">LJ",">L","to me",0,"prep","person","anim","det","prsf","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,"W J<WP >LJ >XD MN H FRPJM W B JDW RYPH B MLQXJM LQX M <L H MZ[B]X",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
214256,"<LH[","MT","Isaiah","1_Isaiah",7,1,"<LH","W JHJ B JMJ >XZ BN JWTM BN <ZJHW MLK JHWDH <LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L MLXMH <LJH W L> JKL L HLXM <LJH",NA,"qal","perf","<LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L MLXMH <LJH","RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L","JRWCLM","JRWCLM/","to Jerusalem",0,"vc","toponym","inanim","det","nmpr","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","non-prepositional"
1897102,"<LH[","1Qisaa","Isaiah","1_Isaiah",7,1,"<LH","W JHJ B JMJ >XZ BN JWTM BN <WZJH MLK JHWDH <LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH W LW> JKLW L HLXM <LJH","0 000 0 000 000 00 0000 00 00000 000 00000 000 0000 000 000 0 000 00 000000 000 00000 000000 0 00000 0000 0 000 0000 0 0000 0000","qal","perf","<LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH","RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L","JRWCLM","JRWCLM/","to Jerusalem",0,"vc","toponym","inanim","det","nmpr","simple","factive","goal",NA,NA,NA,NA,NA,NA,NA,"W JHJ B JMJ >XZ BN JWTM BN <WZJH MLK JHWDH <LH RYJN MLK >RM W PQX BN RWMLJH MLK JFR>L JRWCLM L MLXMH <LJH W LW> JKLW L HLXM <LJH",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","non-prepositional"
214368,"<LH[","MT","Isaiah","1_Isaiah",7,6,"N<LH","N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L",NA,"qal","impf","N<LH B JHWDH",NA,"B JHWDH","B JHWDH/","against/to Judah",0,"prep","toponym","inanim","det","nmpr","simple","factive","goal","B",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1897221,"<LH[","1Qisaa","Isaiah","1_Isaiah",7,6,"N<LH","N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L","0000 0 00000 0 000000 0 000000 00000 0 00000 000 0 0000 00 00 0000","qal","impf","N<LH B JHWDH",NA,"B JHWDH","B JHWDH/","against/to Judah",0,"prep","toponym","inanim","det","nmpr","simple","factive","goal","B",NA,NA,NA,NA,NA,NA,"N<LH B JHWDH W NQJYNH W NBQ<NH >LJNW W NMLJK MLK B TWKH >T BN VB>L",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
214768,"QRB[","MT","Isaiah","1_Isaiah",8,3,">QRB","W >QRB >L H NBJ>H W THR W TLD BN W J>MR JHWH >LJ QR> CMW MHR CLL XC BZ",NA,"qal","wayq","W >QRB >L H NBJ>H",NA,">L H NBJ>H",">L H NBJ>H/","to the prophetess",0,"prep","person","anim","det","subs","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1897634,"QRB[","1Qisaa","Isaiah","1_Isaiah",8,3,">QRB","W >QRB >L H NBJ> W THR W TLD BN W J>WMR JHWH >LJ QR> CMW MHR CLL XC BZ","0 0000 00 0 0000 0 000 0 000 00 0 00000 0000 000 000 000 000 000 00 00","qal","wayy","W >QRB >L H NBJ>",NA,">L H NBJ>",">L H NBJ>","to the prophet",0,"prep","place","inanim","det","subs","simple","factive","goal",">L",NA,NA,NA,NA,NA,NA,"W >QRB >L H NBJ> W THR W TLD BN W J>WMR JHWH >LJ QR> CMW MHR CLL XC BZ",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
214840,"<LH[","MT","Isaiah","1_Isaiah",8,7,"M<LH","W LKN HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW W <LH <L KL >PJQJW W HLK <L KL GDWTJW",NA,"hif","ptca","HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW",">DNJ","<LJHM","<L","upon / on them",0,"prep","group","anim","det","prsf","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1897717,"<LH[","1Qisaa","Isaiah","1_Isaiah",8,7,"M<LH","W L KN HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H H <YWMJM W H RBJM >T MLK >CWR W >T KWL KBWDW W <LH <L KWL >PJQJW W HLK <L KWL GDWWTJW","0 0 00 000 00000 0000 0000 00000 00 00 0 000 0 1 111111 1 1 1111 11 100 0000 0 00 000 00000 0 000 11 111 111111 1 111 11 111 0000000","hifil","ptca","HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H H <YWMJM W H RBJM >T MLK >CWR W >T KWL KBWDW",">DWNJ JHWH","<LJHM","<L","upon / on them",0,"prep","group","anim","det","prsf","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,"W L KN HNH >DWNJ JHWH M<LH <LJHM >T MJ H NHR H [H <YWMJM W H RBJM >T M]LK >CWR W >T KWL KBWDW W <LH [<L KWL >PJQJW W HLK <L KWL] GDWWTJW",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
214869,"XLP[","MT","Isaiah","1_Isaiah",8,8,"XLP","W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW ML> RXB >RYK <MNW >L",NA,"qal","perf","W XLP B JHWDH",NA,"B JHWDH","B JHWDH/","against/to Judah",0,"prep","toponym","inanim","det","nmpr","simple","factive","goal","B",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1897748,"XLP[","1Qisaa","Isaiah","1_Isaiah",8,8,"XLP","W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW MLW> RXB >RYK <MNW >L","0 000 0 00000 000 0 000 00 0000 0000 0 000 0000 00000 0000 000 0000 0000 00","qal","perf","W XLP B JHWDH",NA,"B JHWDH","B JHWDH/","against/to Judah",0,"prep","toponym","inanim","det","nmpr","simple","factive","goal","B",NA,NA,NA,NA,NA,NA,"W XLP B JHWDH CVP W <BR <D YW>R JGJ< W HJH MVWT KNPJW MLW> RXB >RYK <MNW >L",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
216009,"BW>[","MT","Isaiah","1_Isaiah",10,28,"B>","B> <L <JT <BR B MGRWN L MKMF JPQJD KLJW",NA,"qal","perf","B> <L <JT",NA,"<L <JT","<L <JT/","to Aiath",0,"prep","toponym","inanim","det","nmpr","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
216857,"BW>[","MT","Isaiah","1_Isaiah",14,2,"HBJ>WM","W LQXWM <MJM W HBJ>WM >L MQWMM W HTNXLWM BJT JFR>L <L >DMT JHWH L <BDJM W L CPXWT W HJW CBJM L CBJHM W RDW B NGFJHM",NA,"hif","perf","W HBJ>WM >L MQWMM",NA,">L MQWMM",">L MQWM/","to their place",0,"prep","place","inanim","det","subs","complex","factive","goal",">L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
1899844,"BW>[","1Qisaa","Isaiah","1_Isaiah",14,2,"HBJ>WM","W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM","0 00000 0000 0000 0 000000 00 00000 0 00 00000 0 0000000 000 00000 00 0000 0000 0 00000 0 0 00000 0 000 00000 0 000000 0 0000 0 0000000","hifil","perf","W HBJ>WM >L >DMTM W >L MQWMM",NA,">L >DMTM W >L MQWMM",">L >DMH/ W >L MQWM/","to their land and to their place",0,"prep","place","inanim","det","subs","complex","factive","goal",">L",">L",NA,NA,NA,NA,NA,"W LQXWM <MJM RBJM W HBJ>WM >L >DMTM W >L MQWMM W HTNXLWM BJT JFR>L >L >DMT JHWH L <BDJM W L CPXWT W HJW CWBJM L CWBJHM W RDJM B NWGFJHM",NA,"prophetic","Hebrew","CBH","Isaiah_1Qisaa","prepositional"
216956,"<LH[","MT","Isaiah","1_Isaiah",14,8,"J<LH","GM BRWCJM FMXW LK >RZJ LBNWN M >Z CKBT L> J<LH H KRT <LJNW",NA,"qal","impf","L> J<LH H KRT <LJNW","H KRT","<LJNW","<L","to us",0,"prep","person","anim","det","prsf","simple","factive","goal","<L",NA,NA,NA,NA,NA,NA,NA,NA,"prophetic","Hebrew","CBH","Isaiah_MT","prepositional"
