verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,dir_he,dir_he_dss,sign_info,stem,tense,preposition_1,preposition_2,preposition_3,preposition_4,cmpl_lex,cmpl_constr,cmpl_nt,cmpl_anim,cmpl_det,cmpl_indiv,motion_type
212437,CWB[,MT,Isaiah,1,25,>CJBH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >CJBH JDJ <LJK,,<LJK,,,,hif,impf,<L,,,,<L,prep,,,det,,
212447,SWR[,MT,Isaiah,1,25,>SJRH,W >CJBH JDJ <LJK W >YRP K BR SJGJK W >SJRH KL BDJLJK,W >SJRH KL BDJLJK,,no complement,,,,hif,impf,,,,,no complement,,,,,,
1895257,CWB[,1Qisaa,Isaiah,1,25,HCJB,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,W HCJB JDJ <LJK,,<LJK,0,0,0 0000 0000 00000 0 0000 0 00 000000 0 0000 000 0000000 00,hifil,perf,<L,,,,no complement,,,,,,
1895266,SWR[,1Qisaa,Isaiah,1,25,>SJR,W HCJB JDJ <LJK W >YRP K BR SWGJK W >SJR KWL BDJLJK,,,no complement,0,0,0 0000 0000 00000 0 0000 0 00 000000 0 0000 000 0000000 00,hifil,impf,,,,,no complement,,,,,,
212451,CWB[,MT,Isaiah,1,26,>CJBH,W >CJBH CPVJK K B R>CNH W J<YJK K B TXLH >XRJ KN JQR> LK <JR H YDQ QRJH N>MNH,W >CJBH CPVJK K B R>CNH,,no complement,,,,hif,impf,,,,,no complement,,,,,,
1895271,CWB[,1Qisaa,Isaiah,1,26,>CJBH,W >CJBH CWPVJK K B R>JCWNH W J<YJK K B TXLH >XRJ KN JQR>W LK <JR H YDQ QRJH N>MNH,,,no complement,0,0,0 00000 0000000 0 0 0000000 0 000000 0 0 0000 0000 00 00000 000 000 0 000 0000 00000 00,hifil,impf,,,,,no complement,,,,,,
212477,CWB[,MT,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,W CBJH B YDQH,CBJH,no complement,,,,qal,ptca,,,,,no complement,,,,,,
1895296,CWB[,1Qisaa,Isaiah,1,27,CBJH,YJWN B MCPV TPDH W CBJH B YDQH,W CBJH B YDQH,CBJH,no complement,,,0000 0 0000 0000 0 00000 0 0000 00,qal,ptca,,,,,no complement,,,,,,
212564,NHR[,MT,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C H HRJM W NF> M GB<WT W NHRW >LJW KL H GWJM,W NHRW >LJW KL H GWJM,KL H GWJM,>LJW,0,,,qal,perf,>L,,,,>L,prep,,,det,,
1895388,NHR[,1Qisaa,Isaiah,2,2,NHRW,W HJH B >XRJT H JMJM NKWN JHJH HR BJT JHWH B R>C HRJM W NF> M GB<WT W NHRW <LWHJ KWL H GW>JM,W NHRW <LWHJ KWL H GW>JM,KWL H GW>JM,<LWHJ,0,0,0 000 0 00000 0 0000 0000 0000 00 000 0000 0 000 0000 0 000 0 00000 0 0000 000000 000 0 00000 00,qal,perf,<L,,,,no complement,,,,,,
212577,<LH[,MT,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W N<LH >L HR JHWH >L BJT >LHJ J<QB,,>L HR JHWH >L BJT >LHJ J<QB,0,,,qal,impf,>L,>L,,,>L HR/ JHWH/ >L BJT/ >LHJM/ J<QB/,prep + prep,pers pers,anim anim,det,subs nmpr subs subs nmpr,
212590,HLK[,MT,Isaiah,2,3,NLKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W NLKH B >RXTJW,,B >RXTJW,0,,,qal,impf,B,,,,B >RX/,prep,,,det,subs,
212596,JY>[,MT,Isaiah,2,3,TY>,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,KJ M YJWN TY> TWRH,TWRH,M YJWN,0,,,qal,impf,MN,,,,MN YJWN==/,prep,topo,inanim,det,nmpr,
212570,HLK[,MT,Isaiah,2,3,HLKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,W HLKW <MJM RBJM,<MJM RBJM,no complement,,,,qal,perf,,,,,no complement,,,,,,
212575,HLK[,MT,Isaiah,2,3,LKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L HR JHWH >L BJT >LHJ J<QB W JRNW M DRKJW W NLKH B >RXTJW KJ M YJWN TY> TWRH W DBR JHWH M JRWCLM,LKW,,no complement,,,,qal,impv,,,,,no complement,,,,,,
1895395,HLK[,1Qisaa,Isaiah,2,3,HLKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,,,no complement,0,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 000000 0 000000 0 00000 0 00000000 000 0 0000 000 0000 0 000 0000 0 0000000 00,qal,perf,,,,,no complement,,,,,,
1895400,HLK[,1Qisaa,Isaiah,2,3,LKW,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,,,no complement,0,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 000000 0 000000 0 00000 0 00000000 000 0 0000 000 0000 0 000 0000 0 0000000 00,qal,impv,,,,,no complement,,,,,,
1895402,<LH[,1Qisaa,Isaiah,2,3,N<LH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,W N<LH >L BJT >LWHJ J<QWB,,>L BJT >LWHJ J<QWB,0,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 000000 0 000000 0 00000 0 00000000 000 0 0000 000 0000 0 000 0000 0 0000000 00,qal,impf,>L,,,,no complement,,,,,,
1895412,HLK[,1Qisaa,Isaiah,2,3,N>LKH,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,W N>LKH B >WRXTJW,,B >WRXTJW,0,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 000000 0 000000 0 00000 0 00000000 000 0 0000 000 0000 0 000 0000 0 0000000 00,qal,impf,B,,,,no complement,,,,,,
1895418,JY>[,1Qisaa,Isaiah,2,3,TY>,W HLKW <MJM RBJM W >MRW LKW W N<LH >L BJT >LWHJ J<QWB W JRWNW M DRKJW W N>LKH B >WRXTJW KJ> M YJWN TY> TWRH W DBR JHWH M JRWCLJM,KJ> M YJWN TY> TWRH,TWRH,M YJWN,0,0,0 0000 0000 0000 0 0000 000 0 0000 00 000 00000 00000 0 000000 0 000000 0 00000 0 00000000 000 0 0000 000 0000 0 000 0000 0 0000000 00,qal,impf,MN,,,,no complement,,,,,,
212637,HLK[,MT,Isaiah,2,5,NLKH,BJT J<QB LKW W NLKH B >WR JHWH,W NLKH B >WR JHWH,,B >WR JHWH,0,,,qal,impf,B,,,,B >WR/ JHWH/,prep,pers,anim,det,subs nmpr,
212635,HLK[,MT,Isaiah,2,5,LKW,BJT J<QB LKW W NLKH B >WR JHWH,LKW,,no complement,,,,qal,impv,,,,,no complement,,,,,,
1895464,HLK[,1Qisaa,Isaiah,2,5,LKW,BJT J<QWB LKW W NLKH B >WR JHWH,,,no complement,0,0,000 00000 000 0 0000 0 000 0000 00,qal,impv,,,,,no complement,,,,,,
1895466,HLK[,1Qisaa,Isaiah,2,5,NLKH,BJT J<QWB LKW W NLKH B >WR JHWH,W NLKH B >WR JHWH,,B >WR JHWH,0,0,000 00000 000 0 0000 0 000 0000 00,qal,impf,B,,,,no complement,,,,,,
212702,BW>[,MT,Isaiah,2,10,BW>,BW> B YWR W HVMN B <PR M PNJ PXD JHWH W M HDR G>NW,BW> B YWR,,B YWR,0,,,qal,impv,B,,,,B H YWR/,prep,,,det,subs,
212828,XLP[,MT,Isaiah,2,18,JXLP,W H >LJLJM KLJL JXLP,W H >LJLJM KLJL JXLP,H >LJLJM,no complement,,,,qal,impf,,,,,no complement,,,,,,
1895645,XLP[,1Qisaa,Isaiah,2,18,JXLWPW,W H >LJLJM KLJL JXLWPW,W H >LJLJM KLJL JXLWPW,H >LJLJM,no complement,,,0 0 000000 0000 000000 00,qal,impf,,,,,no complement,,,,,,
212830,BW>[,MT,Isaiah,2,19,B>W,W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY,W B>W B M<RWT YRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW,,B M<RWT YRJM W B MXLWT <PR,0,,,qal,perf,B,B,,,B M<RH/ YWR/ W B MXLH==/ <PR/,prep + prep,,,und,subs subs subs subs,
1895648,BW>[,1Qisaa,Isaiah,2,19,B>W,W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY,W B>W B M<RWT YWRJM W B MXLWT <PR M PNJ PXD JHWH W M HDR G>WNW,,B M<RWT YWRJM W B MXLWT <PR,0,0,0 000 0 00000 00000 0 0 00000 000 0 000 000 0000 0 0 000 000000 0 00000 0 0000 0 000 00,qal,perf,B,B,,,B M<RH/ YWR/ W B MXLH==/ <PR/,prep + prep,,,und,subs subs subs subs,
212880,BW>[,MT,Isaiah,2,21,BW>,L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RY H >RY,L BW> B NQRWT H YRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW,,B NQRWT H YRJM W B S<PJ H SL<JM,0,,,qal,infc,B,B,,,B NQRH/ H YWR/ W B S<JP/ H SL</,prep + prep,,,det,subs subs subs subs,
1895697,BW>[,1Qisaa,Isaiah,2,21,BW>,L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW B QWMW L <RWY H >RY,L BW> B NQRWT H YWRJM W B S<PJ H SL<JM M PNJ PXD JHWH W M HDR G>WNW,,B NQRWT H YWRJM W B S<PJ H SL<JM,0,0,0 000 0 00000 0 00000 0 0 0000 0 00000 0 000 000 0000 0 0 000 000000 0 00000 0 0000 0 000 00,qal,infc,B,B,,,B NQRH/ H YWR/ W B S<JP/ H SL</,prep + prep,,,det,subs subs subs subs,
212924,SWR[,MT,Isaiah,3,1,MSJR,KJ HNH H >DWN JHWH YB>WT MSJR M JRWCLM W M JHWDH MC<N W MC<NH KL MC<N LXM W KL MC<N MJM,KJ HNH H >DWN JHWH YB>WT MSJR M JRWCLM W M JHWDH MC<N W MC<NH KL MC<N LXM W KL MC<N MJM,H >DWN JHWH YB>WT,M JRWCLM W M JHWDH,0,,,hif,ptca,MN,MN,,,MN JRWCLM/ W MN JHWDH/,prep + prep,"topo pers,gens,topo",inanim,det,nmpr nmpr,
1895743,SWR[,1Qisaa,Isaiah,3,1,MHSJR,KJ> HNH H >DWN JHWH YB>WT MHSJR M JRWCLM W M JHWDH MC<N W MC<NH KL MC<N LXM W KWL MC<N MJM,KJ> HNH H >DWN JHWH YB>WT MHSJR M JRWCLM W M JHWDH MC<N W MC<NH KL MC<N LXM W KWL MC<N MJM,H >DWN JHWH YB>WT,M JRWCLM W M JHWDH,0,0,000 000 0 0000 0000 00000 00000 0 000000 0 0 00000 0000 0 00000 00 0000 000 0 000 0000 000 00,hifil,ptca,MN,MN,,,MN JRWCLM/ W MN JHWDH/,prep + prep,"topo pers,gens,topo",inanim,det,nmpr nmpr,
213042,NPL[,MT,Isaiah,3,8,NPL,KJ KCLH JRWCLM W JHWDH NPL KJ LCWNM W M<LLJHM >L JHWH L MRWT <NJ KBWDW,W JHWDH NPL,JHWDH,no complement,,,,qal,perf,,,,,no complement,,,,,,
1895866,NPL[,1Qisaa,Isaiah,3,8,NPLH,KJ KCLH JRWCLJM W JHWDH NPLH KJ LCWNM W M<LLJHM <L JHWH L MRWT <JNJ KBWDW,,,no complement,0,0,00 0000 0000000 0 00000 0000 00 000000 0 00000000 00 0000 0 0000 0000 000000 00,qal,perf,,,,,no complement,,,,,,
1895915,CWB[,1Qisaa,Isaiah,3,11,JCWB,>WJ L RC< R< KJ> GMWL JDW JCWB LW>,KJ> GMWL JDW JCWB LW>,GMWL JDW,LW>,0,0,000 0 000 00 000 0000 0000 0000 0000 00,qal,impf,L,,,,no complement,,,,,,
213097,T<H[,MT,Isaiah,3,12,MT<JM,<MJ NGFJW M<WLL W NCJM MCLW BW <MJ M>CRJK MT<JM W DRK >RXTJK BL<W,M>CRJK MT<JM,M>CRJK,no complement,,,,hif,ptca,,,,,no complement,,,,,,
1895927,T<H[,1Qisaa,Isaiah,3,12,MT<JM,<MJ NGFW M<WLL W NCJM MCLW BW <MJ MCRJK MT<JM W DRKJ >WRXWTJK BL<W,MCRJK MT<JM,MCRJK,no complement,,,0000 00000 00000 0 0000 0000 000 0000 000000 00000 0 0000 000000000 0000 00,hifil,ptca,,,,,no complement,,,,,,
213114,BW>[,MT,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TM B<RTM H KRM GZLT H <NJ B BTJKM,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,B MCPV,0,,,qal,impf,B,,,,B MCPV/,prep,,,und,subs,
213114,BW>[,MT,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TM B<RTM H KRM GZLT H <NJ B BTJKM,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,<M ZQNJ <MW W FRJW,0,,,qal,impf,<M,,,,<M ZQN/ <M/ W FR/,prep,,,det,subs subs,
1895945,BW>[,1Qisaa,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TMH B<RTM H KRM GZLT H <NJ B BTJKM,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,B MCPV,0,0,0000 0 0000 0000 00 0000 0000 0 00000 0 0000 00000 0 000 0000 0 000 0 000000 00,qal,impf,B,,,,B MCPV/,prep,,,und,subs,
1895945,BW>[,1Qisaa,Isaiah,3,14,JBW>,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW W >TMH B<RTM H KRM GZLT H <NJ B BTJKM,JHWH B MCPV JBW> <M ZQNJ <MW W FRJW,JHWH,<M ZQNJ <MW W FRJW,0,0,0000 0 0000 0000 00 0000 0000 0 00000 0 0000 00000 0 000 0000 0 000 0 000000 00,qal,impf,<M,,,,<M ZQN/ <M/ W FR/,prep,,,det,subs subs,
213151,HLK[,MT,Isaiah,3,16,TLKNH,W J>MR JHWH J<N KJ GBHW BNWT YJWN W TLKNH NVWWT GRWN W MFQRWT <JNJM HLWK W VPP TLKNH W B RGLJHM T<KSNH,W TLKNH NVWWT GRWN W MFQRWT <JNJM,,no complement,,,,qal,wayq,,,,,no complement,,,,,,
213157,HLK[,MT,Isaiah,3,16,HLWK,W J>MR JHWH J<N KJ GBHW BNWT YJWN W TLKNH NVWWT GRWN W MFQRWT <JNJM HLWK W VPP TLKNH W B RGLJHM T<KSNH,HLWK W VPP TLKNH,,no complement,,,,qal,infa,,,,,no complement,,,,,,
213160,HLK[,MT,Isaiah,3,16,TLKNH,W J>MR JHWH J<N KJ GBHW BNWT YJWN W TLKNH NVWWT GRWN W MFQRWT <JNJM HLWK W VPP TLKNH W B RGLJHM T<KSNH,HLWK W VPP TLKNH,,no complement,,,,qal,impf,,,,,no complement,,,,,,
1895984,HLK[,1Qisaa,Isaiah,3,16,TLKNH,W JW>MR JHWH J<N KJ> GBHW BNWT YJWN W TLKNH NVJWT GRWN W MFQRWT <JNJM HLWK W VWPP TLKNH W B RGLJHNH T<KSNH,,,no complement,0,0,0 00000 0000 000 000 0000 0000 0000 0 00000 00000 0000 0 000000 00000 0000 0 0000 00000 0 0 00000000 000000 00,qal,wayy,,,,,no complement,,,,,,
1895990,HLK[,1Qisaa,Isaiah,3,16,HLWK,W JW>MR JHWH J<N KJ> GBHW BNWT YJWN W TLKNH NVJWT GRWN W MFQRWT <JNJM HLWK W VWPP TLKNH W B RGLJHNH T<KSNH,,,no complement,0,0,0 00000 0000 000 000 0000 0000 0000 0 00000 00000 0000 0 000000 00000 0000 0 0000 00000 0 0 00000000 000000 00,qal,infa,,,,,no complement,,,,,,
1895993,HLK[,1Qisaa,Isaiah,3,16,TLKNH,W JW>MR JHWH J<N KJ> GBHW BNWT YJWN W TLKNH NVJWT GRWN W MFQRWT <JNJM HLWK W VWPP TLKNH W B RGLJHNH T<KSNH,,,no complement,0,0,0 00000 0000 000 000 0000 0000 0000 0 00000 00000 0000 0 000000 00000 0000 0 0000 00000 0 0 00000000 000000 00,qal,impf,,,,,no complement,,,,,,
213180,SWR[,MT,Isaiah,3,18,JSJR,B JWM H HW> JSJR >DNJ >T TP>RT H <KSJM W H CBJSJM W H FHRNJM,B JWM H HW> JSJR >DNJ >T TP>RT H <KSJM W H CBJSJM W H FHRNJM,>DNJ,no complement,,,,hif,impf,,,,,no complement,,,,,,
1896015,SWR[,1Qisaa,Isaiah,3,18,JSJR,B JWM H HW> JSJR >DWNJ JHWH >T TP>RT H <KJSJM W H CBJCJM W H FHRNJM,,,no complement,0,0,0 000 0 000 0000 00000 0000 00 00000 0 000000 0 0 000000 0 0 000000 00,hifil,impf,,,,,no complement,,,,,,
213271,NPL[,MT,Isaiah,3,25,JPLW,MTJK B XRB JPLW W GBWRTK B MLXMH,MTJK B XRB JPLW,MTJK,no complement,,,,qal,impf,,,,,no complement,,,,,,
1896114,NPL[,1Qisaa,Isaiah,3,25,JPWLW,MTJK B XRB JPWLW W GBWRWTJK B MLXMH,,,no complement,0,0,00000 0 000 00000 0 000000000 0 00000 00,qal,impf,,,,,no complement,,,,,,
213508,SWR[,MT,Isaiah,5,5,HSR,W <TH >WDJ<H N> >TKM >T >CR >NJ <FH L KRMJ HSR MFWKTW W HJH L B<R PRY GDRW W HJH L MRMS,HSR MFWKTW,,no complement,,,,hif,infa,,,,,no complement,,,,,,
1896341,SWR[,1Qisaa,Isaiah,5,5,>SJR,W >TH >WDJ< N> >TKMH >T >CR >NJ <WF> L KRMJ >SJR MSWKTW W JHJH B<R PRY GDRW W JHJH L MRMS,,,no complement,0,0,0 000 00000 00 000000 00 000 000 0000 0 00000 0000 0000000 0 0000 000 000 00000 0 0000 0 0000 00,hifil,impf,,,,,no complement,,,,,,
213529,<LH[,MT,Isaiah,5,6,<LH,W >CJTHW BTH L> JZMR W L> J<DR W <LH CMJR W CJT W <L H <BJM >YWH M HMVJR <LJW MVR,W <LH CMJR W CJT,CMJR W CJT,no complement,,,,qal,perf,,,,,no complement,,,,,,
1896363,<LH[,1Qisaa,Isaiah,5,6,<LH,W >CJTHW BTH W LW> JZMR W LW> J<DR W <LH CMJR W CJT W <L H <BJM >YWH M HMVJR <LJW MVR,,,no complement,0,0,0 0000000 000 0 000 0000 0 000 0000 0 000 0000 0 000 0 00 0 0000 0000 0 00000 00000 000 00,qal,perf,,,,,no complement,,,,,,
213573,QRB[,MT,Isaiah,5,8,JQRJBW,HWJ MGJ<J BJT B BJT FDH B FDH JQRJBW <D >PS MQWM W HWCBTM L BDKM B QRB H >RY,FDH B FDH JQRJBW <D >PS MQWM,,B FDH,0,,,hif,impf,B,,,,B FDH/,prep,,,und,subs,
1896409,QRB[,1Qisaa,Isaiah,5,8,JQRJBW,HWJ MGJ<J BJT BJT FDH B FDH JQRJBW <D >PS MQWM W JCTM L BDKM B QRB H >RY,FDH B FDH JQRJBW <D >PS MQWM,,B FDH,0,0,000 00000 000 000 000 0 000 000000 00 000 0000 0 0000 0 00000 0 000 0 000 00,hifil,impf,B,,,,no complement,,,,,,
213650,GLH[,MT,Isaiah,5,13,GLH,LKN GLH <MJ M BLJ D<T W KBWDW MTJ R<B W HMWNW YXH YM>,LKN GLH <MJ M BLJ D<T,<MJ,no complement,,,,qal,perf,,,,,no complement,,,,,,
1896489,GLH[,1Qisaa,Isaiah,5,13,GLH,L KN GLH <MJ M BLJ D<T W KBWDJ MTJ R<B W HMWNW YXH YM>,,,no complement,0,0,0 00 000 0000 0 000 000 0 000000 000 000 0 000000 000 000 00,qal,perf,,,,,no complement,,,,,,
213674,JRD[,MT,Isaiah,5,14,JRD,LKN HRXJBH C>WL NPCH W P<RH PJH L BLJ XQ W JRD HDRH W HMWNH W C>WNH W <LZ BH,W JRD HDRH W HMWNH W C>WNH W <LZ BH,HDRH W HMWNH W C>WNH W <LZ BH,no complement,,,,qal,perf,,,,,no complement,,,,,,
1896515,JRD[,1Qisaa,Isaiah,5,14,JRD,L KN HRXJBH C>WL NPCH W P<RH PJH L BLJ XWQ W JRD HDRH W HMWNH W C>WNH W <LZ BH,,,no complement,0,0,0 00 000000 0000 00000 0 0000 0000 0 000 000 0 000 00000 0 000000 0 000000 0 000 000 00,qal,perf,,,,,no complement,,,,,,
213734,MHR[,MT,Isaiah,5,19,JMHR,H >MRJM JMHR JXJCH M<FHW LM<N NR>H W TQRB W TBW>H <YT QDWC JFR>L W ND<H,JMHR,,no complement,,,,piel,impf,,,,,no complement,,,,,,
213735,XWC[,MT,Isaiah,5,19,JXJCH,H >MRJM JMHR JXJCH M<FHW LM<N NR>H W TQRB W TBW>H <YT QDWC JFR>L W ND<H,JXJCH M<FHW,,no complement,,,,hif,impf,,,,,no complement,,,,,,
213740,QRB[,MT,Isaiah,5,19,TQRB,H >MRJM JMHR JXJCH M<FHW LM<N NR>H W TQRB W TBW>H <YT QDWC JFR>L W ND<H,W TQRB,,no complement,,,,qal,impf,,,,,no complement,,,,,,
213742,BW>[,MT,Isaiah,5,19,TBW>H,H >MRJM JMHR JXJCH M<FHW LM<N NR>H W TQRB W TBW>H <YT QDWC JFR>L W ND<H,W TBW>H <YT QDWC JFR>L,<YT QDWC JFR>L,no complement,,,,qal,impf,,,,,no complement,,,,,,
1896578,MHR[,1Qisaa,Isaiah,5,19,JMHR,H >WMRJM JMHR JXJC M<FJHW LM<N NR>H W TQRBH W TBW>H <YT QDWC JFR>L W ND<,JMHR,,no complement,,,0 000000 0000 0000 0000000 0000 0000 0 000000 0 000000 000 0000 00000 0 000 00,piel,impf,,,,,no complement,,,,,,
1896579,XWC[,1Qisaa,Isaiah,5,19,JXJC,H >WMRJM JMHR JXJC M<FJHW LM<N NR>H W TQRBH W TBW>H <YT QDWC JFR>L W ND<,JXJC M<FJHW,,no complement,,,0 000000 0000 0000 0000000 0000 0000 0 000000 0 000000 000 0000 00000 0 000 00,hifil,impf,,,,,no complement,,,,,,
1896584,QRB[,1Qisaa,Isaiah,5,19,TQRBH,H >WMRJM JMHR JXJC M<FJHW LM<N NR>H W TQRBH W TBW>H <YT QDWC JFR>L W ND<,W TQRBH,,no complement,,,0 000000 0000 0000 0000000 0000 0000 0 000000 0 000000 000 0000 00000 0 000 00,qal,impf,,,,,no complement,,,,,,
1896586,BW>[,1Qisaa,Isaiah,5,19,TBW>H,H >WMRJM JMHR JXJC M<FJHW LM<N NR>H W TQRBH W TBW>H <YT QDWC JFR>L W ND<,W TBW>H <YT QDWC JFR>L,<YT QDWC JFR>L,no complement,,,0 000000 0000 0000 0000000 0000 0000 0 000000 0 000000 000 0000 00000 0 000 00,qal,impf,,,,,no complement,,,,,,
