chapter,verse_num,verse
1,13,καὶ κατεδυνάστευον οἱ Αἰγύπτιοι τοὺς υἱοὺς Ἰσραὴλ βίᾳ
1,14,"καὶ κατωδύνων αὐτῶν τὴν ζωὴν ἐν τοῖς ἔργοις τοῖς σκληροῖς, τῷ πηλῷ καὶ τῇ πλινθείᾳ καὶ πᾶσι τοῖς ἔργοις τοῖς ἐν τοῖς πεδίοις, κατὰ πάντα τὰ ἔργα, ὧν κατεδουλοῦντο αὐτοὺς μετὰ βίας."
1,15,"καὶ εἶπεν ὁ βασιλεὺς τῶν Αἰγυπτίων ταῖς μαίαις τῶν Ἑβραίων · τῇ μιᾷ αὐτῶν ὄνομα Σεπφώρα, καὶ τὸ ὄνομα τῆς δευτέρας Φουά,"
1,16,"καὶ εἶπεν · E ὅταν μαιοῦσθε τὰς Ἑβραίας καὶ ὦσι πρὸς τῷ τίκτειν, ἐὰν μὲν ἄρσεν ᾖ, ἀποκτείνατε αὐτό, ἐὰν δὲ θῆλυ, περιποιεῖσθε αὐτό. E"
1,17,"ἐφοβήθησαν δὲ αἱ μαῖαι τὸν Θεὸν καὶ οὐκ ἐποίησαν καθότι συνέταξεν αὐταῖς ὁ βασιλεὺς Αἰγύπτου, καὶ ἐζωογόνουν τὰ ἄρσενα."
1,18,ἐκάλεσε δὲ ὁ βασιλεὺς Αἰγύπτου τὰς μαίας καὶ εἶπεν αὐταῖς · τί ὅτι ἐποιήσατε τὸ πρᾶγμα τοῦτο καὶ ἐζωογονεῖτε τὰ ἄρσενα; E
1,19,"εἶπαν δὲ αἱ μαῖαι τῷ Φαραώ · οὐχ ὡς γυναῖκες Αἰγύπτου αἱ Ἑβραῖαι, τίκτουσι γὰρ πρὶν ἢ εἰσελθεῖν πρὸς αὐτὰς τὰς μαίας · E καὶ ἔτικτον."
1,20,"εὖ δὲ ἐποίει ὁ Θεὸς τὰς μαίας, καὶ ἐπλήθυνεν ὁ λαὸς καὶ ἴσχυε σφόδρα."
1,21,"ἐπεὶ δὲ ἐφοβοῦντο αἱ μαῖαι τὸν Θεόν, ἐποίησαν ἑαυταῖς οἰκίας."
1,22,"συνέταξε δὲ Φαραὼ παντὶ τῷ λαῷ αὐτοῦ λέγων · πᾶν ἄρσεν, ὃ ἐὰν τεχθῇ τοῖς Ἑβραίοις, εἰς τὸν ποταμὸν ρίψατε · καὶ πᾶν θῆλυ, ζωογονεῖτε αὐτό. E"
2,1,"ἦν δέ τις ἐκ τῆς φυλῆς Λευΐ, ὃς ἔλαβε τῶν θυγατέρων Λευΐ,"
2,2,καὶ ἐν γαστρὶ ἔλαβε καὶ ἔτεκεν ἄρσεν · ἰδόντες δὲ αὐτὸ ἀστεῖον ἐσκέπασαν αὐτὸ μῆνας τρεῖς.
2,3,"ἐπεὶ δὲ οὐκ ἠδύναντο αὐτὸ ἔτι κρύπτειν, ἔλαβεν αὐτῷ ἡ μήτηρ αὐτοῦ θῖβιν καὶ κατέχρισεν αὐτὴν ἀσφαλτοπίσσῃ καὶ ἐνέβαλε τὸ παιδίον εἰς αὐτὴν καὶ ἔθηκεν αὐτὴν εἰς τὸ ἕλος παρὰ τὸν ποταμόν."
2,4,"καὶ κατεσκόπευεν ἡ ἀδελφὴ αὐτοῦ μακρόθεν μαθεῖν, τί τὸ ἀποβησόμενον αὐτῷ. E"
2,5,"κατέβη δὲ ἡ θυγάτηρ Φαραὼ λούσασθαι ἐπὶ τὸν ποταμόν, καὶ αἱ ἅβραι αὐτῆς παρεπορεύοντο παρὰ τὸν ποταμόν. καὶ ἰδοῦσα τὴν θῖβιν ἐν τῷ ἕλει, ἀποστείλασα τὴν ἅβραν ἀνείλατο αὐτήν."
2,6,"ἀνοίξασα δὲ ὁρᾷ παιδίον κλαῖον ἐν τῇ θίβει, καὶ ἐφείσατο αὐτοῦ ἡ θυγάτηρ Φαραὼ καὶ ἔφη · ἀπὸ τῶν παιδίων τῶν Ἑβραίων τοῦτο. E"
2,7,καὶ εἶπεν ἡ ἀδελφὴ αὐτοῦ τῇ θυγατρὶ Φαραώ · θέλεις καλέσω σοι γυναῖκα τροφεύουσαν ἐκ τῶν Ἑβραίων καὶ θηλάσει σοι τὸ παιδίον;
2,8,ἡ δὲ εἶπεν ἡ θυγάτηρ Φαραώ · πορεύου. ἐλθοῦσα δὲ ἡ νεᾶνις ἐκάλεσε τὴν μητέρα τοῦ παιδίου.
2,9,"εἶπε δὲ πρὸς αὐτὴν ἡ θυγάτηρ Φαραώ · διατήρησόν μοι τὸ παιδίον τοῦτο καὶ θήλασόν μοι αὐτό, ἐγὼ δὲ δώσω σοι τὸν μισθόν. ἔλαβε δὲ ἡ γυνὴ τὸ παιδίον καὶ ἐθήλαζεν αὐτό."
2,10,"ἀδρυνθέντος δὲ τοῦ παιδίου, εἰσήγαγεν αὐτὸ πρὸς τὴν θυγατέρα Φαραώ, καὶ ἐγενήθη αὐτῇ εἰς υἱόν · ἐπωνόμασε δὲ τὸ ὄνομα αὐτοῦ Μωυσῆν λέγουσα · ἐκ τοῦ ὕδατος αὐτὸν ἀνειλόμην."
2,11,"ἐγένετο δὲ ἐν ταῖς ἡμέραις ταῖς πολλαῖς ἐκείναις μέγας γενόμενος Μωυσῆς, ἐξῆλθε πρὸς τοὺς ἀδελφοὺς αὐτοῦ τοὺς υἱοὺς Ἰσραήλ. κατανοήσας δὲ τὸν πόνον αὐτῶν ὁρᾷ ἄνθρωπον Αἰγύπτιον τύπτοντά τινα Ἑβραῖον τῶν ἑαυτοῦ ἀδελφῶν τῶν υἱῶν Ἰσραήλ ·"
2,12,"περιβλεψάμενος δὲ ὧδε καὶ ὧδε οὐχ ὁρᾷ οὐδένα καὶ πατάξας τὸν Αἰγύπτιον, ἔκρυψεν αὐτὸν ἐν τῇ ἄμμῳ."
2,13,ἐξελθὼν δὲ τῇ ἡμέρᾳ τῇ δευτέρᾳ ὁρᾷ δύο ἄνν αὐτὸν ραίους διαπληκτιζομένους καὶ λέγει τῷ ἀδικοῦντι · διὰ τί σὺ τύπτεις τὸν πλησίον;
2,14,"ὁ δὲ εἶπε · τίς σε κατέστησεν ἄρχοντα καὶ δικαστὴν ἐφ’ ἡμῶν; μὴ ἀνελεῖν με σὺ θέλεις, ὃν τρόπον ἀνεῖλες χθὲς τὸν Αἰγύπτιον; ἐφοβήθη δὲ Μωυσῆς, καὶ εἶπεν · εἰ οὕτως ἐμφανὲς γέγονε τὸ ρῆμα τοῦτο; E"
2,15,"ἤκουσε δὲ Φαραὼ τὸ ρῆμα τοῦτο καὶ ἐζήτει ἀνελεῖν Μωυσῆν · ἀνεχώρησε δὲ Μωυσῆς ἀπὸ προσώπου Φαραὼ καὶ ᾤκησεν ἐν γῇ Μαδιάμ, ἐλθὼν δὲ εἰς γῆν Μαδιὰμ ἐκάθισεν ἐπὶ τοῦ φρέατος."
2,16,τῷ δὲ ἱερεῖ Μαδιὰμ ἦσαν ἑπτὰ θυγατέρες ποιμαίνουσαι τὰ πρόβατα τοῦ πατρὸς αὐτῶν Ἰοθόρ · παραγενόμεναι δὲ ἤντλουν ἕως ἔπλησαν τὰς δεξαμενὰς ποτίσαι τὰ πρόβατα τοῦ πατρὸς αὐτῶν Ἰοθόρ.
2,17,παραγενόμενοι δὲ οἱ ποιμένες ἐξέβαλλον αὐτάς · ἀναστὰς δὲ Μωυσῆς ἐρρύσατο αὐτὰς καὶ ἤντλησεν αὐταῖς καὶ ἐπότισε τὰ πρόβατα αὐτῶν ·
2,18,παρεγένοντο δὲ πρὸς Ραγουὴλ τὸν πατέρα αὐτῶν. ὁ δὲ εἶπεν αὐταῖς · διατί ἐταχύνατε τοῦ παραγενέσθαι σήμερον;
2,19,αἱ δὲ εἶπαν · ἄνθρωπος Αἰγύπτιος ἐρρύσατο ἡμᾶς ἀπὸ τῶν ποιμένων καὶ ἤντλησεν ἡμῖν καὶ ἐπότισε τὰ πρόβατα ἡμῶν.
2,20,"ὁ δὲ εἶπε ταῖς θυγατράσιν αὐτοῦ · καὶ ποῦ ἐστι; καὶ ἱνατί οὕτως καταλελοίπατε τὸν ἄνθρωπον; καλέσατε οὖν αὐτόν, ὅπως φάγῃ ἄρτον."
2,21,"κατῳκίσθη δὲ Μωυσῆς παρὰ τῷ ἀνθρώπῳ, καὶ ἐξέδοτο Σεπφώραν τὴν θυγατέρα αὐτοῦ Μωυσῇ γυναῖκα."
2,22,"ἐν γαστρὶ δὲ λαβοῦσα ἡ γυνὴ ἔτεκεν υἱόν, καὶ ἐπωνόμασε Μωυσῆς τὸ ὄνομα αὐτοῦ Γηρσὰμ λέγων · ὅτι πάροικός εἰμι ἐν γῇ ἀλλοτρίᾳ. E"
2,23,"μετὰ δὲ τὰς ἡμέρας τὰς πολλὰς ἐκείνας ἐτελεύτησεν ὁ βασιλεὺς Αἰγύπτου. καὶ κατεστέναξαν οἱ υἱοὶ Ἰσραὴλ ἀπὸ τῶν ἔργων καὶ ἀνεβόησαν, καὶ ἀνέβη ἡ βοὴ αὐτῶν πρὸς τὸν Θεὸν ἀπὸ τῶν ἔργων."
2,24,"καὶ εἰσήκουσεν ὁ Θεὸς τὸν στεναγμὸν αὐτῶν, καὶ ἐμνήσθη ὁ Θεὸς τῆς διαθήκης αὐτοῦ τῆς πρὸς Ἁβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ."
2,25,καὶ ἐπεῖδεν ὁ Θεὸς τοὺς υἱοὺς Ἰσραὴλ καὶ ἐγνώσθη αὐτοῖς.
3,1,καὶ Μωυσῆς ἦν ποιμαίνων τὰ πρόβατα Ἰοθόρ τοῦ γαμβροῦ αὐτοῦ τοῦ ἱερέως Μαδιὰμ καὶ ἤγαγε τὰ πρόβατα ὑπὸ τὴν ἔρημον καὶ ἦλθεν εἰς τὸ ὄρος Χωρήβ.
3,2,"ὤφθη δὲ αὐτῷ ἄγγελος Κυρίου ἐν πυρὶ φλογὸς ἐκ τοῦ βάτου, καὶ ὁρᾷ ὅτι ὁ βάτος καίεται πυρί, ὁ δὲ βάτος οὐ κατεκαίετο."
3,3,"εἶπε δὲ Μωυσῆς · παρελθὼν ὄψομαι τὸ ὅραμα τὸ μέγα τοῦτο, ὅτι οὐ κατακαίεται ὁ βάτος."
3,4,"ὡς δὲ εἶδε Κύριος ὅτι προσάγει ἰδεῖν, ἐκάλεσεν αὐτὸν ὁ Κύριος ἐκ τοῦ βάτου λέγων · Μωυσῆ, Μωυσῆ. E ὁ δὲ εἶπε · τί ἐστι;"
3,5,"ὁ δὲ εἶπε · μή ἐγγίσῃς ὧδε. λῦσαι τὸ ὑπόδημα ἐκ τῶν ποδῶν σου · E ὁ γὰρ τόπος, ἐν ᾧ σὺ ἕστηκας, γῆ ἁγία ἐστί."
3,6,"καὶ εἶπεν · ἐγώ εἰμι ὁ Θεὸς τοῦ πατρός σου, Θεὸς Ἁβραὰμ καὶ Θεὸς Ἰσαὰκ καὶ Θεὸς Ἰακώβ. ἀπέστρεψε δὲ Μωυσῆς τὸ πρόσωπον αὐτοῦ · εὐλαβεῖτο γὰρ κατεμβλέψαι ἐνώπιον τοῦ Θεοῦ."
3,7,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · ἰδὼν εἶδον τὴν κάκωσιν τοῦ λαοῦ μου τοῦ ἐν Αἰγύπτῳ καὶ τῆς κραυγῆς αὐτῶν ἀκήκοα ἀπὸ τῶν ἐργοδιωκτῶν · οἶδα γὰρ τὴν ὀδύνην αὐτῶν,"
3,8,"καὶ κατέβην ἐξελέσθαι αὐτοὺς ἐκ χειρὸς τῶν Αἰγυπτίων καὶ ἐξαγαγεῖν αὐτοὺς ἐκ τῆς γῆς ἐκείνης καὶ εἰσαγαγεῖν αὐτοὺς εἰς γῆν ἀγαθὴν καὶ πολλήν, εἰς γῆν ρέουσαν γάλα καὶ μέλι, εἰς τὸν τόπον τῶν Χαναναίων καὶ Χετταίων καὶ Ἀμορραίων καὶ Φερεζαίων καὶ Γεργεσαίων καὶ Εὐαίων καὶ Ἰεβουσαίων"
3,9,"καὶ νῦν ἰδοὺ κραυγὴ τῶν υἱῶν Ἰσραὴλ ἥκει πρός με, κα- κἀγὼ ἑώρακα τὸν θλιμμόν, ὃν οἱ Αἰγύπτιοι θλίβουσιν αὐτούς."
3,10,"καὶ νῦν δεῦρο ἀποστείλω σε πρὸς Φαραὼ βασιλέα Αἰγύπτου, καὶ ἐξάξεις τὸν λαόν μου τοὺς υἱοὺς Ἰσραὴλ ἐκ γῆς Αἰγύπτου."
3,11,"καὶ εἶπε Μωυσῆς πρὸς τὸν Θεόν · τίς εἰμι ἐγώ, ὅτι πορεύσομαι πρὸς Φαραὼ βασιλέα Αἰγύπτου, καὶ ὅτι ἐξάξω τοὺς υἱοὺς Ἰσραὴλ ἐκ γῆς Αἰγύπτου;"
3,12,"εἶπε δὲ ὁ Θεὸς Μωυσῇ λέγων · ὅτι ἔσομαι μετὰ σοῦ, καὶ τοῦτό σοι τὸ σημεῖον, ὅτι ἐγώ σε ἐξαποστέλλω ἐν τῷ ἐξαγαγεῖν σε τὸν λαόν μου ἐξ Αἰγύπτου καὶ λατρεύσετε τῷ Θεῷ ἐν τῷ ὄρει τούτῳ. E"
3,13,"καὶ εἶπε Μωυσῆς πρὸς τὸν Θεόν · ἰδοὺ ἐγὼ ἐξελεύσομαι πρὸς τοὺς υἱοὺς Ἰσραήλ, καὶ ἐρῶ πρὸς αὐτούς · ὁ Θεὸς τῶν πατέρων ἡμῶν ἀπέσταλκέ με πρὸς ὑμᾶς. ἐρωτήσουσί με · τί ὄνομα αὐτῷ; E τί ἐρῶ πρὸς αὐτούς;"
3,14,καὶ εἶπεν ὁ Θεὸς πρὸς Μωυσῆν λέγων · ἐγώ εἰμι ὁ ὤν. καὶ εἶπεν · οὕτως ἐρεῖς τοῖς υἱοῖς Ἰσραήλ · ὁ ὢν ἀπέσταλκέ με πρὸς ὑμᾶς.
3,15,"καὶ εἶπεν ὁ Θεὸς πάλιν πρὸς Μωυσῆν · οὕτως ἐρεῖς τοῖς υἱοῖς Ἰσραήλ · Κύριος ὁ Θεὸς τῶν πατέρων ἡμῶν, Θεὸς Ἁβραὰμ καὶ Θεὸς Ἰσαὰκ καὶ Θεὸς Ἰακὼβ ἀπέσταλκέ με πρὸς ὑμᾶς · τοῦτό μού ἐστιν ὄνομα αἰώνιον καὶ μνημόσυνον γενεῶν γενεαῖς."
3,16,"ἐλθὼν οὖν συνάγαγε τὴν γερουσίαν τῶν υἱῶν Ἰσραὴλ καὶ ἐρεῖς πρὸς αὐτούς · Κύριος ὁ Θεὸς τῶν πατέρων ἡμῶν ὦπταί μοι, Θεὸς Ἀβραὰμ καὶ Θεὸς Ἰσαὰκ καὶ Θεὸς Ἰακώβ, λέγων · ἐπισκοπῇ ἐπέσκεμμαι ὑμᾶς καὶ ὅσα συμβέβηκεν ὑμῖν ἐν Αἰγύπτῳ."
3,17,"καὶ εἶπεν · ἀναβιβάσω ὑμᾶς ἐκ τῆς κακώσεως τῶν Αἰγυπτίων εἰς τὴν γῆν τῶν Χαναναίων καὶ Χετταίων καὶ Ἀμορραίων καὶ Φερεζαίων καὶ Γεργεσαίων καὶ Εὐαίων καὶ Ἰεβουσαίων, εἰς γῆν ρέουσαν γάλα καὶ μέλι."
3,18,"καὶ εἰσακούσονταί σου τῆς φωνῆς · καὶ εἰσελεύσῃ σὺ καὶ ἡ γερουσία Ἰσραὴλ πρὸς Φαραὼ βασιλέα Αἰγύπτου καὶ ἐρεῖς πρὸς αὐτόν · ὁ Θεὸς τῶν Ἑβραίων προσκέκληται ἡμᾶς · πορευσόμεθα οὖν ὁδὸν τριῶν ἡμερῶν εἰς τὴν ἔρημον, ἵνα θύσωμεν τῷ Θεῷ ἡμῶν."
3,19,"ἐγὼ δὲ οἶδα ὅτι οὐ προήσεται ὑμᾶς Φαραὼ βασιλεὺς Αἰγύπτου πορευθῆναι, ἐὰν μὴ μετὰ χειρὸς κραταιᾶς."
3,20,"καὶ ἐκτείνας τὴν χεῖρα πατάξω τοὺς Αἰγυπτίους ἐν πᾶσι τοῖς θαυμασίοις μου, οἷς ποιήσω ἐν αὐτοῖς, καὶ μετὰ ταῦτα ἐξαποστελεῖ ὑμᾶς."
3,21,"καὶ δώσω χάριν τῷ λαῷ τούτῳ ἐναντίον τῶν Αἰγυπτίων · ὅταν δὲ ἀποτρέχητε, οὐκ ἀπελεύσεσθε κενοί ·"
3,22,"ἀλλὰ αἰτήσει γυνὴ παρὰ γείτονος καὶ συσκήνου αὐτῆς σκεύη ἀργυρᾶ καὶ χρυσᾶ καὶ ἱματισμόν, καὶ ἐπιθήσετε ἐπὶ τοὺς υἱοὺς ὑμῶν καὶ ἐπὶ τὰς θυγατέρας ὑμῶν καὶ σκυλεύσετε τούς Αἰγυπτίους."
4,1,"ἀπεκρίθη δὲ Μωυσῆς καὶ εἶπεν · ἐὰν μὴ πιστεύσωσί μοι, μη -δὲ εἰσακούσωσι τῆς φωνῆς μου, ἐροῦσι γάρ, ὅτι οὐκ ὦπταί σοι ὁ Θεός, τί ἐρῶ πρὸς αὐτούς;"
4,2,εἶπε δὲ αὐτῷ Κύριος · τί τοῦτό ἐστι τὸ ἐν τῇ χειρί σου; ὁ δὲ εἶπε · ράβδος. E
4,3,"καὶ εἶπε · ρίψον αὐτὴν ἐπὶ τὴν γῆν. καὶ ἔρριψεν αὐτὴν ἐπὶ τὴν γῆν, καὶ ἐγένετο ὄφις · καὶ ἔφυγε Μωυσῆς ἀπ’ αὐτοῦ."
4,4,"καὶ εἶπε Κύριος πρὸς Μωυσῆν · ἔκτεινον τὴν χεῖρα καὶ ἐπιλαβοῦ τῆς κέρκου · ἐκτείνας οὖν τὴν χεῖρα ἐπελάβετο τῆς κέρκου, καὶ ἐγένετο ράβδος ἐν τῇ χειρὶ αὐτοῦ ·"
4,5,"ἵνα πιστεύσωσί σοι ὅτι ὦπταί σοι ὁ Θεὸς τῶν πατέρων αὐτῶν, Θεὸς Ἁβραὰμ καὶ Θεὸς Ἰσαὰκ καὶ Θεὸς Ἰακώβ. E"
4,6,"εἶπε δὲ αὐτῷ Κύριος πάλιν · εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου. καὶ εἰσήνεγκε τὴν χεῖρα αὐτοῦ εἰς τὸν κόλπον αὐτοῦ · καὶ ἐξήνεγκε τὴν χεῖρα αὐτοῦ ἐκ τοῦ κόλπου αὐτοῦ, καὶ ἐγενήθη ἡ χεὶρ αὐτοῦ ὡσεὶ χιών."
4,7,"καὶ εἶπε πάλιν · εἰσένεγκον τὴν χεῖρά σου εἰς τὸν κόλπον σου. καὶ εἰσήνεγκε τὴν χεῖρα εἰς τὸν κόλπον αὐτοῦ · καὶ ἐξήνεγκεν αὐτὴν ἐκ τοῦ κόλπου αὐτοῦ, καὶ πάλιν ἀποκατέστη εἰς τὴν χρόαν τῆς σαρκὸς αὐτῆς."
4,8,"ἐὰν δὲ μὴ πιστεύσωσί σοι, μη -δὲ εἰσακούσωσι τῆς φωνῆς τοῦ σημείου τοῦ πρώτου, πιστεύσουσί σοι τῆς φωνῆς τοῦ σημείου τοῦ δευτέρου."
4,9,"καὶ ἔσται ἐὰν μὴ πιστεύσωσί σοι τοῖς δυσὶ σημείοις τούτοις, μη -δὲ εἰσακούσωσι τῆς φωνῆς σου, λήψῃ ἀπὸ τοῦ ὕδατος τοῦ ποταμοῦ καὶ ἐκχεεῖς ἐπὶ τὸ ξηρόν, καὶ ἔσται τὸ ὕδωρ, ὃ ἐὰν λάβῃς ἀπὸ τοῦ ποταμοῦ, αἷμα ἐπὶ τοῦ ξηροῦ."
4,10,"εἶπε δὲ Μωυσῆς πρὸς Κύριον · δέομαι, Κύριε, οὐχ ἱκανός εἰμι πρὸ τῆς χθές, οὐ -δὲ πρὸ τῆς τρίτης ἡμέρας, οὐ -δὲ ἀφ’ οὗ ἤρξω λαλεῖν τῷ θεράποντί σου · ἰσχνόφωνος καὶ βραδύγλωσσος ἐγώ εἰμι."
4,11,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · τίς ἔδωκε στόμα ἀνθρώπῳ, καὶ τίς ἐποίησε δύσκωφον καὶ κωφόν, βλέποντα καὶ τυφλόν; οὐκ ἐγὼ ὁ Θεός; E"
4,12,"καὶ νῦν πορεύου, καὶ ἐγὼ ἀνοίξω τὸ στόμα σου, καὶ συμβιβάσω σε, ὃ μέλλεις λαλῆσαι."
4,13,"καὶ εἶπε Μωυσῆς · δέομαι, Κύριε, προχείρισαι δυνάμενον ἄλλον, ὃν ἀποστελεῖς."
4,14,καὶ θυμωθεὶς ὀργῇ Κύριος ἐπὶ Μωυσῆν εἶπεν · οὐκ ἰδοὺ Ἀαρὼν ὁ ἀδελφός σου ὁ Λευΐτης; E ἐπίσταμαι ὅτι λαλῶν λαλήσει αὐτός σοι · καὶ ἰδοὺ αὐτὸς ἐξελεύσεται εἰς συνάντησίν σοι καὶ ἰδών σε χαρήσεται ἐν ἑαυτῷ.
4,15,καὶ ἐρεῖς πρὸς αὐτὸν καὶ δώσεις τὰ ρήματά μου εἰς τὸ στόμα αὐτοῦ · καὶ ἐγὼ ἀνοίξω τὸ στόμα σου καὶ τὸ στόμα αὐτοῦ καὶ συμβιβάσω ὑμᾶς ἃ ποιήσετε.
4,16,"καὶ αὐτός σοι λαλήσει πρὸς τὸν λαόν, καὶ αὐτὸς ἔσται σου στόμα, σὺ δὲ αὐτῷ ἔσῃ τὰ πρὸς τὸν Θεόν."
4,17,"καὶ τὴν ράβδον ταύτην τὴν στραφεῖσαν εἰς ὄφιν λήψῃ ἐν τῇ χειρί σου, ἐν ᾗ ποιήσεις ἐν αὐτῇ τὰ σημεῖα."
4,18,"ἐπορεύθη δὲ Μωυσῆς καὶ ἀπέστρεψε πρὸς Ἰοθὸρ τὸν γαμβρὸν αὐτοῦ καὶ λέγει · πορεύσομαι καὶ ἀποστρέψω πρὸς τοὺς ἀδελφούς μου τοὺς ἐν Αἰγύπτῳ καὶ ὄψομαι, εἰ ἔτι ζῶσι. καὶ εἶπεν Ἰοθὸρ Μωυσῇ · βάδιζε ὑγιαίνων. μετὰ δὲ τὰς ἡμέρας τὰς πολλὰς ἐκείνας ἐτελεύτησεν ὁ βασιλεὺς Αἰγύπτου."
4,19,"εἶπε δὲ Κύριος πρὸς Μωυσῆν ἐν Μαδιάμ · βάδιζε, ἄπελθε εἰς Αἴγυπτον · τεθνήκασι γὰρ πάντες οἱ ζητοῦντές σου τὴν ψυχήν."
4,20,ἀναλαβὼν δὲ Μωυσῆς τὴν γυναῖκα καὶ τὰ παιδία ἀνεβίβασεν αὐτὰ ἐπὶ τὰ ὑποζύγια καὶ ἐπέστρεψεν εἰς Αἴγυπτον · ἔλαβε δὲ Μωυσῆς τὴν ράβδον τὴν παρὰ τοῦ Θεοῦ ἐν τῇ χειρὶ αὐτοῦ.
4,21,"εἶπε δὲ Κύριος πρὸς Μωυσῆν · πορευομένου σου καὶ ἀποστρέφοντος εἰς Αἴγυπτον, ὅρα πάντα τὰ τέρατα, ἃ δέδωκα ἐν ταῖς χερσί σου, ποιήσεις αὐτὰ ἐναντίον Φαραώ · ἐγὼ δὲ σκληρυνῶ τὴν καρδίαν αὐτοῦ, καὶ οὐ μὴ ἐξαποστείλῃ τὸν λαόν."
4,22,σὺ δὲ ἐρεῖς τῷ Φαραώ · τάδε λέγει Κύριος · υἱὸς πρωτότοκός μου Ἰσραήλ · E
4,23,"εἶπα δέ σοι · ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσῃ · εἰ μὲν οὖν μὴ βούλει ἐξαποστεῖλαι αὐτούς, ὅρα οὖν, ἐγὼ ἀποκτενῶ τὸν υἱόν σου τὸν πρωτότοκον."
4,24,ἐγένετο δὲ ἐν τῇ ὁδῷ ἐν τῷ καταλύματι συνήντησεν αὐτῷ ἄγγελος Κυρίου καὶ ἐζήτει αὐτὸν ἀποκτεῖναι.
4,25,καὶ λαβοῦσα Σεπφώρα ψῆφον περιέτεμε τὴν ἀκροβυστίαν τοῦ υἱοῦ αὐτῆς καὶ προσέπεσε πρὸς τοὺς πόδας αὐτοῦ καὶ εἶπεν · ἔστη τὸ αἷμα τῆς περιτομῆς τοῦ παιδίου μου.
4,26,"καὶ ἀπῆλθεν ἀπ’ αὐτοῦ, διότι εἶπεν · ἔστη τὸ αἷμα τῆς περιτομῆς τοῦ παιδίου μου."
4,27,"εἶπε δὲ Κύριος πρὸς Ἀαρών · πορεύθητι εἰς συνάντησιν Μωυσῆ εἰς τὴν ἔρημον · καὶ ἐπορεύθη καὶ συνήντησεν αὐτῷ ἐν τῷ ὄρει τοῦ Θεοῦ, καὶ κατεφίλησαν ἀλλήλους."
4,28,"καὶ ἀνήγγειλε Μωυσῆς τῷ Ἀαρὼν πάντας τοὺς λόγους Κυρίου, οὓς ἀπέστειλε, καὶ πάντα τὰ σημεῖα, ἃ ἐνετείλατο αὐτῷ."
4,29,ἐπορεύθη δὲ Μωυσῆς καὶ Ἀαρὼν καὶ συνήγαγον τὴν γερουσίαν τῶν υἱῶν Ἰσραήλ.
